1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.06934 s, 507 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.84734 s, 368 MB/s
2015-11-06 02:20:17.707499
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.52188 s, 416 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.85153 s, 368 MB/s
2015-11-06 02:20:24.659209
w, s, s, 1048576, 1, 0, 386.441040
w, s, r, 1048576, 1, 0, 371.484908
r, s, s, 1048576, 1, 0, 442.982907
r, s, r, 1048576, 1, 0, 303.438690
w, s, s, 1048576, 1, 0, 370.662871
w, s, r, 1048576, 1, 0, 371.823242
r, s, s, 1048576, 1, 0, 370.500071
r, s, r, 1048576, 1, 0, 287.733369
w, s, s, 10485760, 1, 0, 367.970161
w, s, r, 10485760, 1, 0, 384.852067
r, s, s, 10485760, 1, 0, 429.944754
r, s, r, 10485760, 1, 0, 365.268231
w, s, s, 10485760, 1, 0, 371.341911
w, s, r, 10485760, 1, 0, 375.557958
r, s, s, 10485760, 1, 0, 414.415166
r, s, r, 10485760, 1, 0, 370.332896
w, s, s, 1048576, 1, 1, 386.544893
w, s, r, 1048576, 1, 1, 394.094364
r, s, s, 1048576, 1, 1, 382.727804
r, s, r, 1048576, 1, 1, 384.131152
w, s, s, 1048576, 1, 1, 393.397243
w, s, r, 1048576, 1, 1, 395.898989
r, s, s, 1048576, 1, 1, 381.943379
r, s, r, 1048576, 1, 1, 381.327244
w, s, s, 10485760, 1, 1, 425.210285
w, s, r, 10485760, 1, 1, 434.543038
r, s, s, 10485760, 1, 1, 453.421822
r, s, r, 10485760, 1, 1, 462.557221
w, s, s, 10485760, 1, 1, 431.051447
w, s, r, 10485760, 1, 1, 424.439280
r, s, s, 10485760, 1, 1, 460.667508
r, s, r, 10485760, 1, 1, 458.894226
r, a, s, 1048576, 1, 0, 420.903923
r, a, r, 1048576, 1, 0, 302.904490
r, a, s, 1048576, 1, 0, 383.371805
r, a, r, 1048576, 1, 0, 302.985468
r, a, s, 1048576, 15, 0, 426.699222
r, a, r, 1048576, 15, 0, 288.084849
r, a, s, 1048576, 15, 0, 415.582449
r, a, r, 1048576, 15, 0, 298.022462
r, a, s, 1048576, 31, 0, 429.483697
r, a, r, 1048576, 31, 0, 302.035306
r, a, s, 1048576, 31, 0, 425.635458
r, a, r, 1048576, 31, 0, 286.124512
r, a, s, 1048576, 62, 0, 420.059927
r, a, r, 1048576, 62, 0, 291.298825
r, a, s, 1048576, 62, 0, 422.194855
r, a, r, 1048576, 62, 0, 303.558633
r, a, s, 10485760, 1, 0, 340.542403
r, a, r, 10485760, 1, 0, 332.701118
r, a, s, 10485760, 1, 0, 354.764340
r, a, r, 10485760, 1, 0, 360.266848
r, a, s, 10485760, 15, 0, 412.718026
r, a, r, 10485760, 15, 0, 366.854377
r, a, s, 10485760, 15, 0, 407.785453
r, a, r, 10485760, 15, 0, 356.031489
r, a, s, 10485760, 31, 0, 393.576832
r, a, r, 10485760, 31, 0, 345.862682
r, a, s, 10485760, 31, 0, 395.411951
r, a, r, 10485760, 31, 0, 347.015876
r, a, s, 10485760, 62, 0, 375.945089
r, a, r, 10485760, 62, 0, 330.717565
r, a, s, 10485760, 62, 0, 366.105162
r, a, r, 10485760, 62, 0, 328.122443
r, a, s, 1048576, 1, 1, 384.515199
r, a, r, 1048576, 1, 1, 294.200739
r, a, s, 1048576, 1, 1, 385.236150
r, a, r, 1048576, 1, 1, 298.349114
r, a, s, 1048576, 15, 1, 474.601216
r, a, r, 1048576, 15, 1, 292.138192
r, a, s, 1048576, 15, 1, 476.043085
r, a, r, 1048576, 15, 1, 292.742489
r, a, s, 1048576, 31, 1, 480.818814
r, a, r, 1048576, 31, 1, 297.240746
r, a, s, 1048576, 31, 1, 473.858535
r, a, r, 1048576, 31, 1, 300.777042
r, a, s, 1048576, 62, 1, 476.617563
r, a, r, 1048576, 62, 1, 293.996354
r, a, s, 1048576, 62, 1, 468.810744
r, a, r, 1048576, 62, 1, 297.496589
r, a, s, 10485760, 1, 1, 464.908268
r, a, r, 10485760, 1, 1, 354.518479
r, a, s, 10485760, 1, 1, 468.227946
r, a, r, 10485760, 1, 1, 354.607812
r, a, s, 10485760, 15, 1, 468.107955
r, a, r, 10485760, 15, 1, 338.593791
r, a, s, 10485760, 15, 1, 475.125501
r, a, r, 10485760, 15, 1, 340.426776
r, a, s, 10485760, 31, 1, 479.802071
r, a, r, 10485760, 31, 1, 351.580385
r, a, s, 10485760, 31, 1, 475.345953
r, a, r, 10485760, 31, 1, 348.634389
r, a, s, 10485760, 62, 1, 472.388849
r, a, r, 10485760, 62, 1, 335.446645
r, a, s, 10485760, 62, 1, 478.684973
r, a, r, 10485760, 62, 1, 334.207065
