1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.16976 s, 483 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.93764 s, 357 MB/s
2015-08-19 01:13:57.531977
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.20085 s, 328 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.13435 s, 335 MB/s
2015-08-19 01:14:04.843448
w, s, s, 1048576, 1, 0, 349.831559
w, s, r, 1048576, 1, 0, 362.790193
r, s, s, 1048576, 1, 0, 288.849217
r, s, r, 1048576, 1, 0, 277.293452
w, s, s, 1048576, 1, 0, 337.970285
w, s, r, 1048576, 1, 0, 353.923989
r, s, s, 1048576, 1, 0, 295.796882
r, s, r, 1048576, 1, 0, 287.974374
w, s, s, 10485760, 1, 0, 332.938177
w, s, r, 10485760, 1, 0, 346.152699
r, s, s, 10485760, 1, 0, 284.533692
r, s, r, 10485760, 1, 0, 280.238386
w, s, s, 10485760, 1, 0, 337.355589
w, s, r, 10485760, 1, 0, 344.010799
r, s, s, 10485760, 1, 0, 294.300421
r, s, r, 10485760, 1, 0, 287.433333
w, s, s, 1048576, 1, 1, 341.434956
w, s, r, 1048576, 1, 1, 348.781095
r, s, s, 1048576, 1, 1, 343.430947
r, s, r, 1048576, 1, 1, 345.446828
w, s, s, 1048576, 1, 1, 350.787677
w, s, r, 1048576, 1, 1, 350.955210
r, s, s, 1048576, 1, 1, 346.976747
r, s, r, 1048576, 1, 1, 342.172017
w, s, s, 10485760, 1, 1, 388.928208
w, s, r, 10485760, 1, 1, 389.905330
r, s, s, 10485760, 1, 1, 424.312980
r, s, r, 10485760, 1, 1, 421.591530
w, s, s, 10485760, 1, 1, 387.138826
w, s, r, 10485760, 1, 1, 386.106685
r, s, s, 10485760, 1, 1, 425.133512
r, s, r, 10485760, 1, 1, 423.545397
r, a, s, 1048576, 1, 0, 288.438762
r, a, r, 1048576, 1, 0, 279.699115
r, a, s, 1048576, 1, 0, 288.580192
r, a, r, 1048576, 1, 0, 280.321892
r, a, s, 1048576, 15, 0, 285.253579
r, a, r, 1048576, 15, 0, 274.680774
r, a, s, 1048576, 15, 0, 288.711171
r, a, r, 1048576, 15, 0, 274.821484
r, a, s, 1048576, 31, 0, 284.350025
r, a, r, 1048576, 31, 0, 275.726730
r, a, s, 1048576, 31, 0, 289.937950
r, a, r, 1048576, 31, 0, 273.170406
r, a, s, 1048576, 62, 0, 287.254499
r, a, r, 1048576, 62, 0, 273.999936
r, a, s, 1048576, 62, 0, 288.957324
r, a, r, 1048576, 62, 0, 273.592806
r, a, s, 10485760, 1, 0, 283.934653
r, a, r, 10485760, 1, 0, 281.309362
r, a, s, 10485760, 1, 0, 284.340813
r, a, r, 10485760, 1, 0, 283.848397
r, a, s, 10485760, 15, 0, 283.123875
r, a, r, 10485760, 15, 0, 284.507414
r, a, s, 10485760, 15, 0, 286.061251
r, a, r, 10485760, 15, 0, 279.977048
r, a, s, 10485760, 31, 0, 283.697458
r, a, r, 10485760, 31, 0, 279.934507
r, a, s, 10485760, 31, 0, 281.272360
r, a, r, 10485760, 31, 0, 277.784845
r, a, s, 10485760, 62, 0, 278.496222
r, a, r, 10485760, 62, 0, 275.958829
r, a, s, 10485760, 62, 0, 278.257926
r, a, r, 10485760, 62, 0, 278.450136
r, a, s, 1048576, 1, 1, 352.010727
r, a, r, 1048576, 1, 1, 277.877428
r, a, s, 1048576, 1, 1, 352.528595
r, a, r, 1048576, 1, 1, 303.332261
r, a, s, 1048576, 15, 1, 466.848772
r, a, r, 1048576, 15, 1, 312.970897
r, a, s, 1048576, 15, 1, 465.130733
r, a, r, 1048576, 15, 1, 312.230996
r, a, s, 1048576, 31, 1, 452.077752
r, a, r, 1048576, 31, 1, 312.156276
r, a, s, 1048576, 31, 1, 451.373327
r, a, r, 1048576, 31, 1, 311.630180
r, a, s, 1048576, 62, 1, 450.466672
r, a, r, 1048576, 62, 1, 312.284030
r, a, s, 1048576, 62, 1, 450.710479
r, a, r, 1048576, 62, 1, 311.078066
r, a, s, 10485760, 1, 1, 452.257011
r, a, r, 10485760, 1, 1, 323.358081
r, a, s, 10485760, 1, 1, 453.457629
r, a, r, 10485760, 1, 1, 322.948823
r, a, s, 10485760, 15, 1, 450.818698
r, a, r, 10485760, 15, 1, 321.756212
r, a, s, 10485760, 15, 1, 450.779210
r, a, r, 10485760, 15, 1, 321.661875
r, a, s, 10485760, 31, 1, 453.391412
r, a, r, 10485760, 31, 1, 318.784516
r, a, s, 10485760, 31, 1, 458.183747
r, a, r, 10485760, 31, 1, 322.177450
r, a, s, 10485760, 62, 1, 453.723731
r, a, r, 10485760, 62, 1, 316.620892
r, a, s, 10485760, 62, 1, 454.737588
r, a, r, 10485760, 62, 1, 314.815235
