1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.90366 s, 361 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.47933 s, 301 MB/s
2015-09-08 02:58:17.004591
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.24848 s, 323 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.27773 s, 320 MB/s
2015-09-08 02:58:25.780743
w, s, s, 1048576, 1, 0, 337.864796
w, s, r, 1048576, 1, 0, 340.324588
r, s, s, 1048576, 1, 0, 344.107043
r, s, r, 1048576, 1, 0, 288.846698
w, s, s, 1048576, 1, 0, 338.336511
w, s, r, 1048576, 1, 0, 315.478721
r, s, s, 1048576, 1, 0, 400.820649
r, s, r, 1048576, 1, 0, 267.031899
w, s, s, 10485760, 1, 0, 331.309446
w, s, r, 10485760, 1, 0, 350.540983
r, s, s, 10485760, 1, 0, 362.517276
r, s, r, 10485760, 1, 0, 325.956029
w, s, s, 10485760, 1, 0, 303.638902
w, s, r, 10485760, 1, 0, 324.133583
r, s, s, 10485760, 1, 0, 376.519703
r, s, r, 10485760, 1, 0, 354.389259
w, s, s, 1048576, 1, 1, 359.552122
w, s, r, 1048576, 1, 1, 372.858450
r, s, s, 1048576, 1, 1, 376.586080
r, s, r, 1048576, 1, 1, 377.495153
w, s, s, 1048576, 1, 1, 378.796488
w, s, r, 1048576, 1, 1, 377.141578
r, s, s, 1048576, 1, 1, 370.761435
r, s, r, 1048576, 1, 1, 380.472184
w, s, s, 10485760, 1, 1, 380.942119
w, s, r, 10485760, 1, 1, 379.417885
r, s, s, 10485760, 1, 1, 414.824664
r, s, r, 10485760, 1, 1, 418.659863
w, s, s, 10485760, 1, 1, 381.557650
w, s, r, 10485760, 1, 1, 387.204166
r, s, s, 10485760, 1, 1, 408.349577
r, s, r, 10485760, 1, 1, 419.291626
r, a, s, 1048576, 1, 0, 386.314413
r, a, r, 1048576, 1, 0, 278.122304
r, a, s, 1048576, 1, 0, 380.230870
r, a, r, 1048576, 1, 0, 283.676176
r, a, s, 1048576, 15, 0, 373.711207
r, a, r, 1048576, 15, 0, 276.426880
r, a, s, 1048576, 15, 0, 383.117222
r, a, r, 1048576, 15, 0, 278.790230
r, a, s, 1048576, 31, 0, 385.763955
r, a, r, 1048576, 31, 0, 276.171775
r, a, s, 1048576, 31, 0, 326.147156
r, a, r, 1048576, 31, 0, 281.891486
r, a, s, 1048576, 62, 0, 324.596057
r, a, r, 1048576, 62, 0, 283.681071
r, a, s, 1048576, 62, 0, 309.562949
r, a, r, 1048576, 62, 0, 293.985017
r, a, s, 10485760, 1, 0, 318.103288
r, a, r, 10485760, 1, 0, 340.400700
r, a, s, 10485760, 1, 0, 320.682551
r, a, r, 10485760, 1, 0, 341.142351
r, a, s, 10485760, 15, 0, 321.766950
r, a, r, 10485760, 15, 0, 309.365066
r, a, s, 10485760, 15, 0, 318.176622
r, a, r, 10485760, 15, 0, 332.418309
r, a, s, 10485760, 31, 0, 327.300828
r, a, r, 10485760, 31, 0, 297.655618
r, a, s, 10485760, 31, 0, 327.769047
r, a, r, 10485760, 31, 0, 275.931247
r, a, s, 10485760, 62, 0, 308.011919
r, a, r, 10485760, 62, 0, 308.331674
r, a, s, 10485760, 62, 0, 301.326282
r, a, r, 10485760, 62, 0, 310.442211
r, a, s, 1048576, 1, 1, 393.037290
r, a, r, 1048576, 1, 1, 282.397626
r, a, s, 1048576, 1, 1, 398.043981
r, a, r, 1048576, 1, 1, 289.655337
r, a, s, 1048576, 15, 1, 455.283820
r, a, r, 1048576, 15, 1, 255.694839
r, a, s, 1048576, 15, 1, 462.995575
r, a, r, 1048576, 15, 1, 267.371274
r, a, s, 1048576, 31, 1, 450.068518
r, a, r, 1048576, 31, 1, 271.974406
r, a, s, 1048576, 31, 1, 436.491048
r, a, r, 1048576, 31, 1, 280.539933
r, a, s, 1048576, 62, 1, 417.254031
r, a, r, 1048576, 62, 1, 270.773683
r, a, s, 1048576, 62, 1, 441.918685
r, a, r, 1048576, 62, 1, 277.578467
r, a, s, 10485760, 1, 1, 445.266337
r, a, r, 10485760, 1, 1, 308.474429
r, a, s, 10485760, 1, 1, 420.927389
r, a, r, 10485760, 1, 1, 302.224038
r, a, s, 10485760, 15, 1, 441.696868
r, a, r, 10485760, 15, 1, 308.596196
r, a, s, 10485760, 15, 1, 411.169224
r, a, r, 10485760, 15, 1, 301.783478
r, a, s, 10485760, 31, 1, 379.640147
r, a, r, 10485760, 31, 1, 301.251564
r, a, s, 10485760, 31, 1, 431.263209
r, a, r, 10485760, 31, 1, 337.112374
r, a, s, 10485760, 62, 1, 346.802501
r, a, r, 10485760, 62, 1, 287.361906
r, a, s, 10485760, 62, 1, 440.415755
r, a, r, 10485760, 62, 1, 282.815193
