"size","type","time", "cost"
"6","o", 6876, 4.151
"10","o", 3265, 3.326
4,  p, 13436, 5.376
5,  p, 9021, 4.530
6,  p, 6720, 4.032
7,  p, 5081, 3.570
8,  p, 4346, 3.504
9,  p, 3559, 3.240
10, p, 3121, 3.180
