"size","type","total","p1","p2"
4,"o",1854.842,1301.141,543.7
5,"o",1547.078,1104.181,432.896
6,"o",1333.456,956.569,366.886
8,"o",1038.597,752.423,276.173
10,"o",842.674,609.932,222.742
4, p, 1945, 1309, 636
5, p, 1627, 1117, 510
6, p, 1394, 970, 424
8, p, 1082, 764, 318
10, p, 885, 629, 256
