1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04346 s, 513 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.88193 s, 364 MB/s
2016-01-12
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.4973 s, 420 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.91957 s, 359 MB/s
2016-01-12
w, s, s, 1048576, 1, 0, 377.648338
w, s, r, 1048576, 1, 0, 379.590523
r, s, s, 1048576, 1, 0, 302.191385
r, s, r, 1048576, 1, 0, 293.328301
w, s, s, 1048576, 1, 0, 370.180775
w, s, r, 1048576, 1, 0, 380.692176
r, s, s, 1048576, 1, 0, 287.531902
r, s, r, 1048576, 1, 0, 281.539084
w, s, s, 10485760, 1, 0, 366.901290
w, s, r, 10485760, 1, 0, 379.360964
r, s, s, 10485760, 1, 0, 303.101458
r, s, r, 10485760, 1, 0, 289.726010
w, s, s, 10485760, 1, 0, 370.000104
w, s, r, 10485760, 1, 0, 377.517456
r, s, s, 10485760, 1, 0, 302.047318
r, s, r, 10485760, 1, 0, 293.354356
w, s, s, 1048576, 1, 1, 363.657297
w, s, r, 1048576, 1, 1, 371.215318
r, s, s, 1048576, 1, 1, 348.768275
r, s, r, 1048576, 1, 1, 350.566219
w, s, s, 1048576, 1, 1, 371.912063
w, s, r, 1048576, 1, 1, 378.067500
r, s, s, 1048576, 1, 1, 343.142052
r, s, r, 1048576, 1, 1, 343.933654
w, s, s, 10485760, 1, 1, 398.494643
w, s, r, 10485760, 1, 1, 406.647250
r, s, s, 10485760, 1, 1, 423.010172
r, s, r, 10485760, 1, 1, 420.530108
w, s, s, 10485760, 1, 1, 406.942537
w, s, r, 10485760, 1, 1, 404.069694
r, s, s, 10485760, 1, 1, 422.677303
r, s, r, 10485760, 1, 1, 415.187401
r, a, s, 1048576, 1, 0, 295.171947
r, a, r, 1048576, 1, 0, 287.344365
r, a, s, 1048576, 1, 0, 295.292983
r, a, r, 1048576, 1, 0, 287.598867
r, a, s, 1048576, 15, 0, 299.229575
r, a, r, 1048576, 15, 0, 283.309788
r, a, s, 1048576, 15, 0, 291.858424
r, a, r, 1048576, 15, 0, 283.159929
r, a, s, 1048576, 31, 0, 297.031801
r, a, r, 1048576, 31, 0, 283.648039
r, a, s, 1048576, 31, 0, 295.084633
r, a, r, 1048576, 31, 0, 282.619627
r, a, s, 1048576, 62, 0, 301.664192
r, a, r, 1048576, 62, 0, 281.188338
r, a, s, 1048576, 62, 0, 299.521197
r, a, r, 1048576, 62, 0, 283.774930
r, a, s, 10485760, 1, 0, 291.867126
r, a, r, 10485760, 1, 0, 293.153602
r, a, s, 10485760, 1, 0, 293.849131
r, a, r, 10485760, 1, 0, 292.357136
r, a, s, 10485760, 15, 0, 292.509718
r, a, r, 10485760, 15, 0, 290.618215
r, a, s, 10485760, 15, 0, 291.641959
r, a, r, 10485760, 15, 0, 291.653711
r, a, s, 10485760, 31, 0, 279.373161
r, a, r, 10485760, 31, 0, 266.142230
r, a, s, 10485760, 31, 0, 264.612969
r, a, r, 10485760, 31, 0, 262.871856
r, a, s, 10485760, 62, 0, 261.595224
r, a, r, 10485760, 62, 0, 260.379514
r, a, s, 10485760, 62, 0, 263.264436
r, a, r, 10485760, 62, 0, 260.684747
r, a, s, 1048576, 1, 1, 339.035719
r, a, r, 1048576, 1, 1, 267.733471
r, a, s, 1048576, 1, 1, 336.737920
r, a, r, 1048576, 1, 1, 265.862275
r, a, s, 1048576, 15, 1, 423.326960
r, a, r, 1048576, 15, 1, 261.795980
r, a, s, 1048576, 15, 1, 439.496011
r, a, r, 1048576, 15, 1, 264.208278
r, a, s, 1048576, 31, 1, 421.448116
r, a, r, 1048576, 31, 1, 259.259504
r, a, s, 1048576, 31, 1, 421.508325
r, a, r, 1048576, 31, 1, 263.027533
r, a, s, 1048576, 62, 1, 482.231075
r, a, r, 1048576, 62, 1, 320.121533
r, a, s, 1048576, 62, 1, 483.614947
r, a, r, 1048576, 62, 1, 319.996122
r, a, s, 10485760, 1, 1, 471.466993
r, a, r, 10485760, 1, 1, 332.607759
r, a, s, 10485760, 1, 1, 472.134014
r, a, r, 10485760, 1, 1, 331.691115
r, a, s, 10485760, 15, 1, 483.796121
r, a, r, 10485760, 15, 1, 329.198020
r, a, s, 10485760, 15, 1, 483.481327
r, a, r, 10485760, 15, 1, 335.195973
r, a, s, 10485760, 31, 1, 483.329201
r, a, r, 10485760, 31, 1, 334.074081
r, a, s, 10485760, 31, 1, 483.361736
r, a, r, 10485760, 31, 1, 328.230243
r, a, s, 10485760, 62, 1, 483.003254
r, a, r, 10485760, 62, 1, 319.727796
r, a, s, 10485760, 62, 1, 483.803776
r, a, r, 10485760, 62, 1, 320.767038
