1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.03978 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.75591 s, 380 MB/s
2015-10-02 21:27:38.348277
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.13788 s, 334 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.72195 s, 385 MB/s
2015-10-02 21:27:45.177873
w, s, s, 1048576, 1, 0, 400.061637
w, s, r, 1048576, 1, 0, 400.751745
r, s, s, 1048576, 1, 0, 342.660723
r, s, r, 1048576, 1, 0, 340.606860
w, s, s, 1048576, 1, 0, 393.442931
w, s, r, 1048576, 1, 0, 400.708587
r, s, s, 1048576, 1, 0, 328.190910
r, s, r, 1048576, 1, 0, 326.946001
w, s, s, 10485760, 1, 0, 390.908279
w, s, r, 10485760, 1, 0, 399.992862
r, s, s, 10485760, 1, 0, 331.426920
r, s, r, 10485760, 1, 0, 336.029769
w, s, s, 10485760, 1, 0, 391.403617
w, s, r, 10485760, 1, 0, 401.757738
r, s, s, 10485760, 1, 0, 335.898138
r, s, r, 10485760, 1, 0, 336.514542
w, s, s, 1048576, 1, 1, 411.755934
w, s, r, 1048576, 1, 1, 426.424183
r, s, s, 1048576, 1, 1, 394.105255
r, s, r, 1048576, 1, 1, 395.314692
w, s, s, 1048576, 1, 1, 429.213793
w, s, r, 1048576, 1, 1, 424.792946
r, s, s, 1048576, 1, 1, 393.662430
r, s, r, 1048576, 1, 1, 395.750044
w, s, s, 10485760, 1, 1, 454.928436
w, s, r, 10485760, 1, 1, 451.322717
r, s, s, 10485760, 1, 1, 457.141611
r, s, r, 10485760, 1, 1, 460.281351
w, s, s, 10485760, 1, 1, 450.223342
w, s, r, 10485760, 1, 1, 452.203929
r, s, s, 10485760, 1, 1, 444.746237
r, s, r, 10485760, 1, 1, 449.687495
r, a, s, 1048576, 1, 0, 326.467866
r, a, r, 1048576, 1, 0, 320.872559
r, a, s, 1048576, 1, 0, 324.712290
r, a, r, 1048576, 1, 0, 316.390465
r, a, s, 1048576, 15, 0, 323.244243
r, a, r, 1048576, 15, 0, 313.449901
r, a, s, 1048576, 15, 0, 327.875201
r, a, r, 1048576, 15, 0, 314.336072
r, a, s, 1048576, 31, 0, 323.921562
r, a, r, 1048576, 31, 0, 313.777092
r, a, s, 1048576, 31, 0, 323.828700
r, a, r, 1048576, 31, 0, 314.784867
r, a, s, 1048576, 62, 0, 323.167392
r, a, r, 1048576, 62, 0, 316.595915
r, a, s, 1048576, 62, 0, 323.516964
r, a, r, 1048576, 62, 0, 311.180572
r, a, s, 10485760, 1, 0, 325.535039
r, a, r, 10485760, 1, 0, 321.667704
r, a, s, 10485760, 1, 0, 327.212008
r, a, r, 10485760, 1, 0, 322.118799
r, a, s, 10485760, 15, 0, 320.580717
r, a, r, 10485760, 15, 0, 319.086909
r, a, s, 10485760, 15, 0, 319.831242
r, a, r, 10485760, 15, 0, 321.916845
r, a, s, 10485760, 31, 0, 317.694992
r, a, r, 10485760, 31, 0, 319.462298
r, a, s, 10485760, 31, 0, 317.030086
r, a, r, 10485760, 31, 0, 315.939711
r, a, s, 10485760, 62, 0, 316.740998
r, a, r, 10485760, 62, 0, 311.099241
r, a, s, 10485760, 62, 0, 317.759638
r, a, r, 10485760, 62, 0, 313.600511
r, a, s, 1048576, 1, 1, 386.424449
r, a, r, 1048576, 1, 1, 313.252053
r, a, s, 1048576, 1, 1, 387.203115
r, a, r, 1048576, 1, 1, 315.025372
r, a, s, 1048576, 15, 1, 466.016143
r, a, r, 1048576, 15, 1, 315.128282
r, a, s, 1048576, 15, 1, 470.352654
r, a, r, 1048576, 15, 1, 313.269208
r, a, s, 1048576, 31, 1, 473.858818
r, a, r, 1048576, 31, 1, 313.550464
r, a, s, 1048576, 31, 1, 475.824984
r, a, r, 1048576, 31, 1, 315.110743
r, a, s, 1048576, 62, 1, 474.210801
r, a, r, 1048576, 62, 1, 315.272718
r, a, s, 1048576, 62, 1, 474.931507
r, a, r, 1048576, 62, 1, 314.509740
r, a, s, 10485760, 1, 1, 466.507950
r, a, r, 10485760, 1, 1, 324.635838
r, a, s, 10485760, 1, 1, 465.691587
r, a, r, 10485760, 1, 1, 324.675425
r, a, s, 10485760, 15, 1, 475.465621
r, a, r, 10485760, 15, 1, 321.848470
r, a, s, 10485760, 15, 1, 476.126383
r, a, r, 10485760, 15, 1, 322.743001
r, a, s, 10485760, 31, 1, 472.055851
r, a, r, 10485760, 31, 1, 320.249583
r, a, s, 10485760, 31, 1, 475.595717
r, a, r, 10485760, 31, 1, 319.274439
r, a, s, 10485760, 62, 1, 475.773373
r, a, r, 10485760, 62, 1, 316.631823
r, a, s, 10485760, 62, 1, 476.870445
r, a, r, 10485760, 62, 1, 315.719964
