25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.206393 s, 508 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.319886 s, 328 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.325354 s, 322 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.278383 s, 377 MB/s
w, s, s, 4096, 1, 0, 376.117824
w, s, r, 4096, 1, 0, 358.991612
r, s, s, 4096, 1, 0, 294.023460
r, s, r, 4096, 1, 0, 33.678330
w, s, s, 4096, 1, 0, 355.073092
w, s, r, 4096, 1, 0, 361.220812
r, s, s, 4096, 1, 0, 298.968206
r, s, r, 4096, 1, 0, 34.316562
w, s, s, 1048576, 1, 0, 364.392186
w, s, r, 1048576, 1, 0, 377.208317
r, s, s, 1048576, 1, 0, 304.747134
r, s, r, 1048576, 1, 0, 292.824200
w, s, s, 1048576, 1, 0, 367.614375
w, s, r, 1048576, 1, 0, 385.425223
r, s, s, 1048576, 1, 0, 294.114779
r, s, r, 1048576, 1, 0, 285.814633
w, s, s, 4096, 1, 1, 48.260513
w, s, r, 4096, 1, 1, 52.433166
r, s, s, 4096, 1, 1, 51.634132
r, s, r, 4096, 1, 1, 23.158444
w, s, s, 4096, 1, 1, 52.144940
w, s, r, 4096, 1, 1, 52.437923
r, s, s, 4096, 1, 1, 51.933462
r, s, r, 4096, 1, 1, 23.254109
w, s, s, 1048576, 1, 1, 376.807439
w, s, r, 1048576, 1, 1, 380.648311
r, s, s, 1048576, 1, 1, 344.065100
r, s, r, 1048576, 1, 1, 345.525418
w, s, s, 1048576, 1, 1, 368.513170
w, s, r, 1048576, 1, 1, 374.674922
r, s, s, 1048576, 1, 1, 342.160585
r, s, r, 1048576, 1, 1, 345.260903
r, a, s, 4096, 1, 0, 298.781275
r, a, r, 4096, 1, 0, 33.499185
r, a, s, 4096, 1, 0, 296.407738
r, a, r, 4096, 1, 0, 33.426353
r, a, s, 4096, 15, 0, 310.286901
r, a, r, 4096, 15, 0, 33.349970
r, a, s, 4096, 15, 0, 281.747693
r, a, r, 4096, 15, 0, 31.762145
r, a, s, 4096, 31, 0, 330.583660
r, a, r, 4096, 31, 0, 36.491187
r, a, s, 4096, 31, 0, 438.653971
r, a, r, 4096, 31, 0, 38.561947
r, a, s, 4096, 62, 0, 415.426774
r, a, r, 4096, 62, 0, 38.072373
r, a, s, 4096, 62, 0, 404.710916
r, a, r, 4096, 62, 0, 38.696848
r, a, s, 1048576, 1, 0, 396.590729
r, a, r, 1048576, 1, 0, 328.988358
r, a, s, 1048576, 1, 0, 389.914824
r, a, r, 1048576, 1, 0, 323.965548
r, a, s, 1048576, 15, 0, 410.002510
r, a, r, 1048576, 15, 0, 318.256642
r, a, s, 1048576, 15, 0, 376.742063
r, a, r, 1048576, 15, 0, 318.435003
r, a, s, 1048576, 31, 0, 419.445735
r, a, r, 1048576, 31, 0, 320.511507
r, a, s, 1048576, 31, 0, 423.716108
r, a, r, 1048576, 31, 0, 317.243513
r, a, s, 1048576, 62, 0, 417.311000
r, a, r, 1048576, 62, 0, 318.984435
r, a, s, 1048576, 62, 0, 426.109276
r, a, r, 1048576, 62, 0, 319.742158
r, a, s, 4096, 1, 1, 66.361619
r, a, r, 4096, 1, 1, 38.654778
r, a, s, 4096, 1, 1, 65.437573
r, a, r, 4096, 1, 1, 38.544925
r, a, s, 4096, 15, 1, 186.996566
r, a, r, 4096, 15, 1, 38.685615
r, a, s, 4096, 15, 1, 207.169095
r, a, r, 4096, 15, 1, 38.708972
r, a, s, 4096, 31, 1, 229.535650
r, a, r, 4096, 31, 1, 38.737781
r, a, s, 4096, 31, 1, 225.028765
r, a, r, 4096, 31, 1, 38.496525
r, a, s, 4096, 62, 1, 331.183741
r, a, r, 4096, 62, 1, 37.833878
r, a, s, 4096, 62, 1, 324.927692
r, a, r, 4096, 62, 1, 38.329749
r, a, s, 1048576, 1, 1, 394.710152
r, a, r, 1048576, 1, 1, 328.390787
r, a, s, 1048576, 1, 1, 394.035068
r, a, r, 1048576, 1, 1, 326.882890
r, a, s, 1048576, 15, 1, 483.372279
r, a, r, 1048576, 15, 1, 322.710450
r, a, s, 1048576, 15, 1, 481.748036
r, a, r, 1048576, 15, 1, 319.945003
r, a, s, 1048576, 31, 1, 482.964800
r, a, r, 1048576, 31, 1, 321.313957
r, a, s, 1048576, 31, 1, 482.456600
r, a, r, 1048576, 31, 1, 321.726672
r, a, s, 1048576, 62, 1, 482.469183
r, a, r, 1048576, 62, 1, 320.154504
r, a, s, 1048576, 62, 1, 482.710480
r, a, r, 1048576, 62, 1, 321.243719
