1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.2445 s, 467 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.93199 s, 358 MB/s
2015-10-09 17:24:56.578826
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.56046 s, 410 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.00901 s, 348 MB/s
2015-10-09 17:25:03.794131
w, s, s, 1048576, 1, 0, 330.088137
w, s, r, 1048576, 1, 0, 385.612001
r, s, s, 1048576, 1, 0, 291.616443
r, s, r, 1048576, 1, 0, 279.037809
w, s, s, 1048576, 1, 0, 375.985042
w, s, r, 1048576, 1, 0, 382.767868
r, s, s, 1048576, 1, 0, 298.361730
r, s, r, 1048576, 1, 0, 287.125383
w, s, s, 10485760, 1, 0, 332.147664
w, s, r, 10485760, 1, 0, 380.661677
r, s, s, 10485760, 1, 0, 316.944481
r, s, r, 10485760, 1, 0, 285.206309
w, s, s, 10485760, 1, 0, 370.514032
w, s, r, 10485760, 1, 0, 375.555132
r, s, s, 10485760, 1, 0, 294.746550
r, s, r, 10485760, 1, 0, 283.556061
w, s, s, 1048576, 1, 1, 360.411076
w, s, r, 1048576, 1, 1, 373.822834
r, s, s, 1048576, 1, 1, 345.261898
r, s, r, 1048576, 1, 1, 345.898454
w, s, s, 1048576, 1, 1, 374.593988
w, s, r, 1048576, 1, 1, 370.173737
r, s, s, 1048576, 1, 1, 341.588711
r, s, r, 1048576, 1, 1, 347.477252
w, s, s, 10485760, 1, 1, 412.684572
w, s, r, 10485760, 1, 1, 404.573581
r, s, s, 10485760, 1, 1, 421.352575
r, s, r, 10485760, 1, 1, 420.003229
w, s, s, 10485760, 1, 1, 399.262814
w, s, r, 10485760, 1, 1, 402.623897
r, s, s, 10485760, 1, 1, 429.865132
r, s, r, 10485760, 1, 1, 426.782189
r, a, s, 1048576, 1, 0, 295.859821
r, a, r, 1048576, 1, 0, 284.153422
r, a, s, 1048576, 1, 0, 296.897899
r, a, r, 1048576, 1, 0, 286.635937
r, a, s, 1048576, 15, 0, 308.517985
r, a, r, 1048576, 15, 0, 274.630985
r, a, s, 1048576, 15, 0, 302.080968
r, a, r, 1048576, 15, 0, 271.466087
r, a, s, 1048576, 31, 0, 298.521854
r, a, r, 1048576, 31, 0, 271.208789
r, a, s, 1048576, 31, 0, 308.681208
r, a, r, 1048576, 31, 0, 275.334592
r, a, s, 1048576, 62, 0, 313.658735
r, a, r, 1048576, 62, 0, 279.656071
r, a, s, 1048576, 62, 0, 303.283538
r, a, r, 1048576, 62, 0, 274.030183
r, a, s, 10485760, 1, 0, 296.478117
r, a, r, 10485760, 1, 0, 288.515492
r, a, s, 10485760, 1, 0, 303.751144
r, a, r, 10485760, 1, 0, 290.952648
r, a, s, 10485760, 15, 0, 300.537224
r, a, r, 10485760, 15, 0, 294.397378
r, a, s, 10485760, 15, 0, 299.766651
r, a, r, 10485760, 15, 0, 293.922371
r, a, s, 10485760, 31, 0, 296.800171
r, a, r, 10485760, 31, 0, 288.328310
r, a, s, 10485760, 31, 0, 290.908899
r, a, r, 10485760, 31, 0, 293.459806
r, a, s, 10485760, 62, 0, 279.178978
r, a, r, 10485760, 62, 0, 280.522891
r, a, s, 10485760, 62, 0, 268.549573
r, a, r, 10485760, 62, 0, 255.590687
r, a, s, 1048576, 1, 1, 337.173462
r, a, r, 1048576, 1, 1, 264.335269
r, a, s, 1048576, 1, 1, 337.081195
r, a, r, 1048576, 1, 1, 264.384082
r, a, s, 1048576, 15, 1, 433.771252
r, a, r, 1048576, 15, 1, 258.321508
r, a, s, 1048576, 15, 1, 463.437150
r, a, r, 1048576, 15, 1, 304.378904
r, a, s, 1048576, 31, 1, 473.747040
r, a, r, 1048576, 31, 1, 311.066423
r, a, s, 1048576, 31, 1, 473.962129
r, a, r, 1048576, 31, 1, 308.249768
r, a, s, 1048576, 62, 1, 471.781721
r, a, r, 1048576, 62, 1, 306.583016
r, a, s, 1048576, 62, 1, 476.234092
r, a, r, 1048576, 62, 1, 309.034196
r, a, s, 10485760, 1, 1, 461.745736
r, a, r, 10485760, 1, 1, 357.905268
r, a, s, 10485760, 1, 1, 461.740963
r, a, r, 10485760, 1, 1, 338.917269
r, a, s, 10485760, 15, 1, 472.796786
r, a, r, 10485760, 15, 1, 334.366118
r, a, s, 10485760, 15, 1, 471.141052
r, a, r, 10485760, 15, 1, 337.008764
r, a, s, 10485760, 31, 1, 472.268287
r, a, r, 10485760, 31, 1, 335.800969
r, a, s, 10485760, 31, 1, 472.148656
r, a, r, 10485760, 31, 1, 331.129343
r, a, s, 10485760, 62, 1, 472.947269
r, a, r, 10485760, 62, 1, 310.976737
r, a, s, 10485760, 62, 1, 472.916505
r, a, r, 10485760, 62, 1, 318.219931
