1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04011 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.74179 s, 382 MB/s
2015-11-23 02:12:50.245760
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.1484 s, 333 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.7468 s, 382 MB/s
2015-11-23 02:12:57.063321
w, s, s, 1048576, 1, 0, 398.485352
w, s, r, 1048576, 1, 0, 400.331964
r, s, s, 1048576, 1, 0, 343.780499
r, s, r, 1048576, 1, 0, 338.009309
w, s, s, 1048576, 1, 0, 391.025257
w, s, r, 1048576, 1, 0, 400.261845
r, s, s, 1048576, 1, 0, 338.258887
r, s, r, 1048576, 1, 0, 327.090705
w, s, s, 10485760, 1, 0, 387.506867
w, s, r, 10485760, 1, 0, 399.944066
r, s, s, 10485760, 1, 0, 328.922480
r, s, r, 10485760, 1, 0, 333.428002
w, s, s, 10485760, 1, 0, 387.671048
w, s, r, 10485760, 1, 0, 400.098547
r, s, s, 10485760, 1, 0, 328.058485
r, s, r, 10485760, 1, 0, 327.152445
w, s, s, 1048576, 1, 1, 410.543907
w, s, r, 1048576, 1, 1, 422.505524
r, s, s, 1048576, 1, 1, 394.513175
r, s, r, 1048576, 1, 1, 396.264006
w, s, s, 1048576, 1, 1, 427.345117
w, s, r, 1048576, 1, 1, 423.965861
r, s, s, 1048576, 1, 1, 389.963882
r, s, r, 1048576, 1, 1, 388.985333
w, s, s, 10485760, 1, 1, 449.672542
w, s, r, 10485760, 1, 1, 447.219255
r, s, s, 10485760, 1, 1, 455.609438
r, s, r, 10485760, 1, 1, 460.500706
w, s, s, 10485760, 1, 1, 447.268529
w, s, r, 10485760, 1, 1, 449.379280
r, s, s, 10485760, 1, 1, 458.422232
r, s, r, 10485760, 1, 1, 458.261269
r, a, s, 1048576, 1, 0, 330.167544
r, a, r, 1048576, 1, 0, 318.765336
r, a, s, 1048576, 1, 0, 330.092179
r, a, r, 1048576, 1, 0, 320.787250
r, a, s, 1048576, 15, 0, 326.614027
r, a, r, 1048576, 15, 0, 317.191708
r, a, s, 1048576, 15, 0, 328.483167
r, a, r, 1048576, 15, 0, 317.535640
r, a, s, 1048576, 31, 0, 326.531708
r, a, r, 1048576, 31, 0, 316.922315
r, a, s, 1048576, 31, 0, 327.799847
r, a, r, 1048576, 31, 0, 318.260004
r, a, s, 1048576, 62, 0, 327.320328
r, a, r, 1048576, 62, 0, 316.178361
r, a, s, 1048576, 62, 0, 327.227691
r, a, r, 1048576, 62, 0, 317.529392
r, a, s, 10485760, 1, 0, 328.562781
r, a, r, 10485760, 1, 0, 328.034329
r, a, s, 10485760, 1, 0, 328.534632
r, a, r, 10485760, 1, 0, 328.157876
r, a, s, 10485760, 15, 0, 326.016405
r, a, r, 10485760, 15, 0, 325.954828
r, a, s, 10485760, 15, 0, 326.581102
r, a, r, 10485760, 15, 0, 324.791398
r, a, s, 10485760, 31, 0, 324.163425
r, a, r, 10485760, 31, 0, 324.322352
r, a, s, 10485760, 31, 0, 324.560435
r, a, r, 10485760, 31, 0, 322.897995
r, a, s, 10485760, 62, 0, 320.427603
r, a, r, 10485760, 62, 0, 319.937986
r, a, s, 10485760, 62, 0, 320.155236
r, a, r, 10485760, 62, 0, 319.780417
r, a, s, 1048576, 1, 1, 394.142268
r, a, r, 1048576, 1, 1, 320.751009
r, a, s, 1048576, 1, 1, 393.553028
r, a, r, 1048576, 1, 1, 320.500439
r, a, s, 1048576, 15, 1, 476.564643
r, a, r, 1048576, 15, 1, 318.628776
r, a, s, 1048576, 15, 1, 475.234316
r, a, r, 1048576, 15, 1, 317.590551
r, a, s, 1048576, 31, 1, 477.165091
r, a, r, 1048576, 31, 1, 317.469126
r, a, s, 1048576, 31, 1, 476.509285
r, a, r, 1048576, 31, 1, 318.494622
r, a, s, 1048576, 62, 1, 477.381980
r, a, r, 1048576, 62, 1, 316.890020
r, a, s, 1048576, 62, 1, 475.694645
r, a, r, 1048576, 62, 1, 317.622341
r, a, s, 10485760, 1, 1, 466.246908
r, a, r, 10485760, 1, 1, 328.148305
r, a, s, 10485760, 1, 1, 466.477289
r, a, r, 10485760, 1, 1, 327.144714
r, a, s, 10485760, 15, 1, 477.585251
r, a, r, 10485760, 15, 1, 324.356123
r, a, s, 10485760, 15, 1, 474.228312
r, a, r, 10485760, 15, 1, 325.148130
r, a, s, 10485760, 31, 1, 474.066220
r, a, r, 10485760, 31, 1, 323.691367
r, a, s, 10485760, 31, 1, 476.382185
r, a, r, 10485760, 31, 1, 323.470017
r, a, s, 10485760, 62, 1, 476.509829
r, a, r, 10485760, 62, 1, 319.738470
r, a, s, 10485760, 62, 1, 476.680213
r, a, r, 10485760, 62, 1, 319.129216
