1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.95968 s, 354 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 5.41864 s, 194 MB/s
2015-09-08 02:58:16.786145
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.90165 s, 361 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.81495 s, 275 MB/s
2015-09-08 02:58:27.633683
w, s, s, 1048576, 1, 0, 323.194694
w, s, r, 1048576, 1, 0, 332.343030
r, s, s, 1048576, 1, 0, 301.642369
r, s, r, 1048576, 1, 0, 272.310898
w, s, s, 1048576, 1, 0, 339.992307
w, s, r, 1048576, 1, 0, 325.311039
r, s, s, 1048576, 1, 0, 340.770565
r, s, r, 1048576, 1, 0, 262.649442
w, s, s, 10485760, 1, 0, 308.802027
w, s, r, 10485760, 1, 0, 330.505195
r, s, s, 10485760, 1, 0, 313.769708
r, s, r, 10485760, 1, 0, 287.481332
w, s, s, 10485760, 1, 0, 307.473461
w, s, r, 10485760, 1, 0, 350.777010
r, s, s, 10485760, 1, 0, 303.872934
r, s, r, 10485760, 1, 0, 295.850410
w, s, s, 1048576, 1, 1, 336.944123
w, s, r, 1048576, 1, 1, 340.818273
r, s, s, 1048576, 1, 1, 328.178808
r, s, r, 1048576, 1, 1, 329.978985
w, s, s, 1048576, 1, 1, 337.228995
w, s, r, 1048576, 1, 1, 342.171734
r, s, s, 1048576, 1, 1, 328.725629
r, s, r, 1048576, 1, 1, 319.844825
w, s, s, 10485760, 1, 1, 366.347118
w, s, r, 10485760, 1, 1, 369.133784
r, s, s, 10485760, 1, 1, 383.541423
r, s, r, 10485760, 1, 1, 392.934658
w, s, s, 10485760, 1, 1, 372.427348
w, s, r, 10485760, 1, 1, 371.487747
r, s, s, 10485760, 1, 1, 386.990242
r, s, r, 10485760, 1, 1, 345.595539
r, a, s, 1048576, 1, 0, 279.170957
r, a, r, 1048576, 1, 0, 254.723419
r, a, s, 1048576, 1, 0, 270.193949
r, a, r, 1048576, 1, 0, 263.474958
r, a, s, 1048576, 15, 0, 304.730153
r, a, r, 1048576, 15, 0, 259.177924
r, a, s, 1048576, 15, 0, 278.673284
r, a, r, 1048576, 15, 0, 251.029944
r, a, s, 1048576, 31, 0, 318.361916
r, a, r, 1048576, 31, 0, 260.525207
r, a, s, 1048576, 31, 0, 244.873744
r, a, r, 1048576, 31, 0, 262.934093
r, a, s, 1048576, 62, 0, 273.352577
r, a, r, 1048576, 62, 0, 258.981819
r, a, s, 1048576, 62, 0, 317.939269
r, a, r, 1048576, 62, 0, 252.937761
r, a, s, 10485760, 1, 0, 298.939842
r, a, r, 10485760, 1, 0, 283.291333
r, a, s, 10485760, 1, 0, 265.069920
r, a, r, 10485760, 1, 0, 262.999838
r, a, s, 10485760, 15, 0, 265.864142
r, a, r, 10485760, 15, 0, 277.800331
r, a, s, 10485760, 15, 0, 266.988417
r, a, r, 10485760, 15, 0, 254.161738
r, a, s, 10485760, 31, 0, 260.314558
r, a, r, 10485760, 31, 0, 252.419738
r, a, s, 10485760, 31, 0, 265.718462
r, a, r, 10485760, 31, 0, 263.018379
r, a, s, 10485760, 62, 0, 262.111241
r, a, r, 10485760, 62, 0, 255.668253
r, a, s, 10485760, 62, 0, 276.215057
r, a, r, 10485760, 62, 0, 253.628160
r, a, s, 1048576, 1, 1, 351.410317
r, a, r, 1048576, 1, 1, 276.528563
r, a, s, 1048576, 1, 1, 390.267589
r, a, r, 1048576, 1, 1, 284.772799
r, a, s, 1048576, 15, 1, 461.904220
r, a, r, 1048576, 15, 1, 282.477650
r, a, s, 1048576, 15, 1, 464.427428
r, a, r, 1048576, 15, 1, 271.072901
r, a, s, 1048576, 31, 1, 234.234509
r, a, r, 1048576, 31, 1, 279.728828
r, a, s, 1048576, 31, 1, 255.392826
r, a, r, 1048576, 31, 1, 288.072250
r, a, s, 1048576, 62, 1, 449.094184
r, a, r, 1048576, 62, 1, 278.376556
r, a, s, 1048576, 62, 1, 438.352953
r, a, r, 1048576, 62, 1, 282.056848
r, a, s, 10485760, 1, 1, 443.760448
r, a, r, 10485760, 1, 1, 279.964899
r, a, s, 10485760, 1, 1, 442.550597
r, a, r, 10485760, 1, 1, 294.116019
r, a, s, 10485760, 15, 1, 443.820233
r, a, r, 10485760, 15, 1, 300.198422
r, a, s, 10485760, 15, 1, 232.375914
r, a, r, 10485760, 15, 1, 291.652935
r, a, s, 10485760, 31, 1, 441.757318
r, a, r, 10485760, 31, 1, 324.400757
r, a, s, 10485760, 31, 1, 436.835858
r, a, r, 10485760, 31, 1, 296.815080
r, a, s, 10485760, 62, 1, 384.566724
r, a, r, 10485760, 62, 1, 277.933408
r, a, s, 10485760, 62, 1, 419.022186
r, a, r, 10485760, 62, 1, 301.836607
