1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.05232 s, 511 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.80348 s, 374 MB/s
2015-08-26 01:21:22.194337
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.9991 s, 350 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.8635 s, 366 MB/s
2015-08-26 01:21:29.110073
w, s, s, 1048576, 1, 0, 391.391891
w, s, r, 1048576, 1, 0, 371.166472
r, s, s, 1048576, 1, 0, 301.000828
r, s, r, 1048576, 1, 0, 296.859986
w, s, s, 1048576, 1, 0, 371.916362
w, s, r, 1048576, 1, 0, 383.035397
r, s, s, 1048576, 1, 0, 292.082174
r, s, r, 1048576, 1, 0, 287.217709
w, s, s, 10485760, 1, 0, 369.947665
w, s, r, 10485760, 1, 0, 378.944370
r, s, s, 10485760, 1, 0, 291.922775
r, s, r, 10485760, 1, 0, 295.767458
w, s, s, 10485760, 1, 0, 370.102792
w, s, r, 10485760, 1, 0, 379.801900
r, s, s, 10485760, 1, 0, 298.515311
r, s, r, 10485760, 1, 0, 298.658675
w, s, s, 1048576, 1, 1, 375.929660
w, s, r, 1048576, 1, 1, 384.319052
r, s, s, 1048576, 1, 1, 349.270360
r, s, r, 1048576, 1, 1, 351.579805
w, s, s, 1048576, 1, 1, 385.686999
w, s, r, 1048576, 1, 1, 384.051668
r, s, s, 1048576, 1, 1, 346.523162
r, s, r, 1048576, 1, 1, 346.102181
w, s, s, 10485760, 1, 1, 414.110344
w, s, r, 10485760, 1, 1, 408.264465
r, s, s, 10485760, 1, 1, 415.368259
r, s, r, 10485760, 1, 1, 418.327090
w, s, s, 10485760, 1, 1, 417.778897
w, s, r, 10485760, 1, 1, 407.485991
r, s, s, 10485760, 1, 1, 429.292619
r, s, r, 10485760, 1, 1, 418.763247
r, a, s, 1048576, 1, 0, 301.863819
r, a, r, 1048576, 1, 0, 293.136930
r, a, s, 1048576, 1, 0, 301.773432
r, a, r, 1048576, 1, 0, 291.013975
r, a, s, 1048576, 15, 0, 298.872633
r, a, r, 1048576, 15, 0, 284.363238
r, a, s, 1048576, 15, 0, 300.972407
r, a, r, 1048576, 15, 0, 284.764874
r, a, s, 1048576, 31, 0, 300.161039
r, a, r, 1048576, 31, 0, 286.479569
r, a, s, 1048576, 31, 0, 297.871207
r, a, r, 1048576, 31, 0, 284.673441
r, a, s, 1048576, 62, 0, 276.953385
r, a, r, 1048576, 62, 0, 265.709801
r, a, s, 1048576, 62, 0, 278.406096
r, a, r, 1048576, 62, 0, 263.760145
r, a, s, 10485760, 1, 0, 275.615964
r, a, r, 10485760, 1, 0, 272.866327
r, a, s, 10485760, 1, 0, 275.063719
r, a, r, 10485760, 1, 0, 275.615239
r, a, s, 10485760, 15, 0, 271.861385
r, a, r, 10485760, 15, 0, 272.189562
r, a, s, 10485760, 15, 0, 272.165047
r, a, r, 10485760, 15, 0, 271.325021
r, a, s, 10485760, 31, 0, 271.127189
r, a, r, 10485760, 31, 0, 268.614855
r, a, s, 10485760, 31, 0, 270.731425
r, a, r, 10485760, 31, 0, 269.983349
r, a, s, 10485760, 62, 0, 267.303299
r, a, r, 10485760, 62, 0, 267.537349
r, a, s, 10485760, 62, 0, 287.608651
r, a, r, 10485760, 62, 0, 287.468920
r, a, s, 1048576, 1, 1, 350.196484
r, a, r, 1048576, 1, 1, 290.858820
r, a, s, 1048576, 1, 1, 355.041494
r, a, r, 1048576, 1, 1, 291.202982
r, a, s, 1048576, 15, 1, 443.159377
r, a, r, 1048576, 15, 1, 284.168322
r, a, s, 1048576, 15, 1, 456.103899
r, a, r, 1048576, 15, 1, 283.695400
r, a, s, 1048576, 31, 1, 444.163778
r, a, r, 1048576, 31, 1, 285.242694
r, a, s, 1048576, 31, 1, 471.357361
r, a, r, 1048576, 31, 1, 323.680589
r, a, s, 1048576, 62, 1, 477.744896
r, a, r, 1048576, 62, 1, 321.076294
r, a, s, 1048576, 62, 1, 476.500925
r, a, r, 1048576, 62, 1, 320.902613
r, a, s, 10485760, 1, 1, 467.269750
r, a, r, 10485760, 1, 1, 334.815215
r, a, s, 10485760, 1, 1, 468.022217
r, a, r, 10485760, 1, 1, 336.053783
r, a, s, 10485760, 15, 1, 476.215968
r, a, r, 10485760, 15, 1, 331.876240
r, a, s, 10485760, 15, 1, 477.392439
r, a, r, 10485760, 15, 1, 333.051534
r, a, s, 10485760, 31, 1, 477.461559
r, a, r, 10485760, 31, 1, 330.688369
r, a, s, 10485760, 31, 1, 477.431036
r, a, r, 10485760, 31, 1, 330.402387
r, a, s, 10485760, 62, 1, 476.651377
r, a, r, 10485760, 62, 1, 325.748115
r, a, s, 10485760, 62, 1, 477.517017
r, a, r, 10485760, 62, 1, 326.078080
