type, mem, disk.size, disks, diskio.r, diskio.w, iops.r, netio, rtt, cost, billing.granularity, billing.mintime
i2.1x,  29.6, 800, 1, 137, 137, 7000,   80, 0.2, 0.853, 60, 60
i2.2x,  60.0, 800, 2, 147, 147, 7000,  120, 0.2, 1.705, 60, 60
i2.4x, 120.0, 800, 4, 171, 151, 7000,  240, 0.2, 3.410, 60, 60
i2.8x, 240.0, 800, 8, 178, 154, 7000, 1000, 0.2, 6.820, 60, 60
