type, mem, disk.size, disks, diskio.r, diskio.w, netio, cost
i2.1x,  30.5, 800, 1, 137, 137,   82, 0.853
i2.2x,  61.0, 800, 2, 147, 147,  125, 1.705
i2.4x, 122.0, 800, 4, 171, 151,  250, 3.410
i2.8x, 244.0, 800, 8, 178, 154, 1200, 6.820

