type, mem, disk.size, disks, diskio.r, diskio.w, iops.r, netio, rtt, cost, billing.granularity, billing.mintime
i2.1x,  30.5, 800, 1, 137, 137, 35000,   82, 0.149, 0.853, 60, 60
i2.2x,  61.0, 800, 2, 147, 147, 37500,  125, 0.149, 1.705, 60, 60
i2.4x, 122.0, 800, 4, 171, 151, 43750,  250, 0.149, 3.410, 60, 60
i2.8x, 244.0, 800, 8, 178, 154, 45625, 1200, 0.149, 6.820, 60, 60
