type, mem, disk.size, disks, diskio.r, diskio.w, iops.r, netio, rtt, cost, billing.granularity, billing.mintime
n1-highmem-2,   13, 375, 1, 374, 312, 7000, 450, 0.2, 0.0039, 1, 10
n1-highmem-4,   26, 375, 2, 374, 312, 7000, 900, 0.2, 0.0079, 1, 10
n1-highmem-8,   52, 375, 4, 374, 312, 7000, 900, 0.2, 0.0159, 1, 10
n1-highmem-16, 104, 375, 4, 374, 312, 7000, 900, 0.2, 0.0243, 1, 10
n1-highmem-32, 208, 375, 4, 374, 312, 7000, 900, 0.2, 0.0411, 1, 10
