type, mem, disk.size, disks, diskio.r, diskio.w, netio, cost, billing.granularity, billing.mintime
n1-highmem-2,   13, 375, 1, 663, 352,  500, 0.0039, 1, 10
n1-highmem-4,   26, 375, 2, 663, 352, 1000, 0.0079, 1, 10
n1-highmem-8,   52, 375, 4, 663, 352, 1250, 0.0159, 1, 10
n1-highmem-16, 104, 375, 4, 663, 352, 1250, 0.0243, 1, 10
n1-highmem-32, 208, 375, 4, 663, 352, 1250, 0.0411, 1, 10
