1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.07109 s, 506 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.74176 s, 382 MB/s
2015-11-21 01:35:32.204953
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.87826 s, 364 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.71335 s, 386 MB/s
2015-11-21 01:35:39.052396
w, s, s, 1048576, 1, 0, 397.501603
w, s, r, 1048576, 1, 0, 398.077578
r, s, s, 1048576, 1, 0, 336.817837
r, s, r, 1048576, 1, 0, 329.883265
w, s, s, 1048576, 1, 0, 390.901660
w, s, r, 1048576, 1, 0, 396.700797
r, s, s, 1048576, 1, 0, 322.151732
r, s, r, 1048576, 1, 0, 318.709962
w, s, s, 10485760, 1, 0, 388.195532
w, s, r, 10485760, 1, 0, 398.612401
r, s, s, 10485760, 1, 0, 330.805109
r, s, r, 10485760, 1, 0, 331.335020
w, s, s, 10485760, 1, 0, 386.548793
w, s, r, 10485760, 1, 0, 398.782119
r, s, s, 10485760, 1, 0, 328.154258
r, s, r, 10485760, 1, 0, 329.967836
w, s, s, 1048576, 1, 1, 408.903551
w, s, r, 1048576, 1, 1, 418.036574
r, s, s, 1048576, 1, 1, 391.526356
r, s, r, 1048576, 1, 1, 389.470170
w, s, s, 1048576, 1, 1, 424.515060
w, s, r, 1048576, 1, 1, 421.237315
r, s, s, 1048576, 1, 1, 388.605259
r, s, r, 1048576, 1, 1, 392.736979
w, s, s, 10485760, 1, 1, 451.034567
w, s, r, 10485760, 1, 1, 447.863976
r, s, s, 10485760, 1, 1, 463.602442
r, s, r, 10485760, 1, 1, 452.083453
w, s, s, 10485760, 1, 1, 447.626334
w, s, r, 10485760, 1, 1, 451.248039
r, s, s, 10485760, 1, 1, 442.123281
r, s, r, 10485760, 1, 1, 446.601252
r, a, s, 1048576, 1, 0, 328.410044
r, a, r, 1048576, 1, 0, 321.301574
r, a, s, 1048576, 1, 0, 333.701429
r, a, r, 1048576, 1, 0, 319.324376
r, a, s, 1048576, 15, 0, 327.325089
r, a, r, 1048576, 15, 0, 313.873012
r, a, s, 1048576, 15, 0, 325.037045
r, a, r, 1048576, 15, 0, 315.956808
r, a, s, 1048576, 31, 0, 324.521628
r, a, r, 1048576, 31, 0, 314.288933
r, a, s, 1048576, 31, 0, 325.982429
r, a, r, 1048576, 31, 0, 315.005360
r, a, s, 1048576, 62, 0, 323.315633
r, a, r, 1048576, 62, 0, 318.489504
r, a, s, 1048576, 62, 0, 329.071232
r, a, r, 1048576, 62, 0, 318.272658
r, a, s, 10485760, 1, 0, 329.341318
r, a, r, 10485760, 1, 0, 328.688575
r, a, s, 10485760, 1, 0, 328.734039
r, a, r, 10485760, 1, 0, 328.216012
r, a, s, 10485760, 15, 0, 325.664054
r, a, r, 10485760, 15, 0, 325.609201
r, a, s, 10485760, 15, 0, 326.511777
r, a, r, 10485760, 15, 0, 326.173914
r, a, s, 10485760, 31, 0, 324.531793
r, a, r, 10485760, 31, 0, 323.591582
r, a, s, 10485760, 31, 0, 324.210820
r, a, r, 10485760, 31, 0, 322.788101
r, a, s, 10485760, 62, 0, 320.327998
r, a, r, 10485760, 62, 0, 320.060345
r, a, s, 10485760, 62, 0, 320.248837
r, a, r, 10485760, 62, 0, 318.171634
r, a, s, 1048576, 1, 1, 392.711822
r, a, r, 1048576, 1, 1, 320.646033
r, a, s, 1048576, 1, 1, 393.072643
r, a, r, 1048576, 1, 1, 320.945483
r, a, s, 1048576, 15, 1, 478.386195
r, a, r, 1048576, 15, 1, 318.215461
r, a, s, 1048576, 15, 1, 476.819815
r, a, r, 1048576, 15, 1, 317.392529
r, a, s, 1048576, 31, 1, 475.219477
r, a, r, 1048576, 31, 1, 317.716615
r, a, s, 1048576, 31, 1, 477.206225
r, a, r, 1048576, 31, 1, 318.189762
r, a, s, 1048576, 62, 1, 475.684766
r, a, r, 1048576, 62, 1, 318.108320
r, a, s, 1048576, 62, 1, 478.703171
r, a, r, 1048576, 62, 1, 316.003006
r, a, s, 10485760, 1, 1, 466.850925
r, a, r, 10485760, 1, 1, 326.723777
r, a, s, 10485760, 1, 1, 467.329625
r, a, r, 10485760, 1, 1, 327.465715
r, a, s, 10485760, 15, 1, 474.396362
r, a, r, 10485760, 15, 1, 324.865135
r, a, s, 10485760, 15, 1, 477.945742
r, a, r, 10485760, 15, 1, 324.083044
r, a, s, 10485760, 31, 1, 473.104125
r, a, r, 10485760, 31, 1, 322.859371
r, a, s, 10485760, 31, 1, 475.786349
r, a, r, 10485760, 31, 1, 322.720327
r, a, s, 10485760, 62, 1, 475.397114
r, a, r, 10485760, 62, 1, 319.145978
r, a, s, 10485760, 62, 1, 475.851746
r, a, r, 10485760, 62, 1, 318.845942
