1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.07427 s, 506 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.80424 s, 374 MB/s
2015-08-31 10:18:03.218756
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.55839 s, 410 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.80797 s, 373 MB/s
2015-08-31 10:18:10.135158
w, s, s, 1048576, 1, 0, 391.772293
w, s, r, 1048576, 1, 0, 396.327427
r, s, s, 1048576, 1, 0, 295.136228
r, s, r, 1048576, 1, 0, 284.849926
w, s, s, 1048576, 1, 0, 382.512038
w, s, r, 1048576, 1, 0, 396.267948
r, s, s, 1048576, 1, 0, 286.302781
r, s, r, 1048576, 1, 0, 287.418504
w, s, s, 10485760, 1, 0, 380.671452
w, s, r, 10485760, 1, 0, 388.818472
r, s, s, 10485760, 1, 0, 290.763658
r, s, r, 10485760, 1, 0, 284.264858
w, s, s, 10485760, 1, 0, 374.288197
w, s, r, 10485760, 1, 0, 380.442599
r, s, s, 10485760, 1, 0, 273.185528
r, s, r, 10485760, 1, 0, 266.349466
w, s, s, 1048576, 1, 1, 367.482684
w, s, r, 1048576, 1, 1, 380.477193
r, s, s, 1048576, 1, 1, 334.210660
r, s, r, 1048576, 1, 1, 341.796488
w, s, s, 1048576, 1, 1, 380.875186
w, s, r, 1048576, 1, 1, 373.292645
r, s, s, 1048576, 1, 1, 333.017325
r, s, r, 1048576, 1, 1, 334.148671
w, s, s, 10485760, 1, 1, 399.165463
w, s, r, 10485760, 1, 1, 401.923025
r, s, s, 10485760, 1, 1, 400.574705
r, s, r, 10485760, 1, 1, 413.748165
w, s, s, 10485760, 1, 1, 394.908219
w, s, r, 10485760, 1, 1, 413.440672
r, s, s, 10485760, 1, 1, 421.036711
r, s, r, 10485760, 1, 1, 420.374034
r, a, s, 1048576, 1, 0, 303.897579
r, a, r, 1048576, 1, 0, 284.663118
r, a, s, 1048576, 1, 0, 303.089531
r, a, r, 1048576, 1, 0, 286.730153
r, a, s, 1048576, 15, 0, 314.480680
r, a, r, 1048576, 15, 0, 283.517328
r, a, s, 1048576, 15, 0, 322.983118
r, a, r, 1048576, 15, 0, 279.867748
r, a, s, 1048576, 31, 0, 322.261608
r, a, r, 1048576, 31, 0, 278.287644
r, a, s, 1048576, 31, 0, 315.557741
r, a, r, 1048576, 31, 0, 279.845004
r, a, s, 1048576, 62, 0, 316.534360
r, a, r, 1048576, 62, 0, 278.093750
r, a, s, 1048576, 62, 0, 317.680831
r, a, r, 1048576, 62, 0, 280.676280
r, a, s, 10485760, 1, 0, 319.197051
r, a, r, 10485760, 1, 0, 299.406749
r, a, s, 10485760, 1, 0, 318.739415
r, a, r, 10485760, 1, 0, 302.306292
r, a, s, 10485760, 15, 0, 303.618329
r, a, r, 10485760, 15, 0, 296.857694
r, a, s, 10485760, 15, 0, 312.750697
r, a, r, 10485760, 15, 0, 294.504570
r, a, s, 10485760, 31, 0, 313.289298
r, a, r, 10485760, 31, 0, 293.955380
r, a, s, 10485760, 31, 0, 302.830249
r, a, r, 10485760, 31, 0, 294.453782
r, a, s, 10485760, 62, 0, 293.427585
r, a, r, 10485760, 62, 0, 289.867874
r, a, s, 10485760, 62, 0, 290.568434
r, a, r, 10485760, 62, 0, 287.737493
r, a, s, 1048576, 1, 1, 352.457959
r, a, r, 1048576, 1, 1, 284.209848
r, a, s, 1048576, 1, 1, 352.130257
r, a, r, 1048576, 1, 1, 290.574454
r, a, s, 1048576, 15, 1, 442.524646
r, a, r, 1048576, 15, 1, 281.596350
r, a, s, 1048576, 15, 1, 441.400923
r, a, r, 1048576, 15, 1, 280.295375
r, a, s, 1048576, 31, 1, 444.315270
r, a, r, 1048576, 31, 1, 278.204666
r, a, s, 1048576, 31, 1, 444.033973
r, a, r, 1048576, 31, 1, 319.591737
r, a, s, 1048576, 62, 1, 479.685187
r, a, r, 1048576, 62, 1, 318.166945
r, a, s, 1048576, 62, 1, 479.539682
r, a, r, 1048576, 62, 1, 316.869695
r, a, s, 10485760, 1, 1, 470.881592
r, a, r, 10485760, 1, 1, 360.689752
r, a, s, 10485760, 1, 1, 469.730404
r, a, r, 10485760, 1, 1, 352.334968
r, a, s, 10485760, 15, 1, 480.446819
r, a, r, 10485760, 15, 1, 351.338579
r, a, s, 10485760, 15, 1, 479.943906
r, a, r, 10485760, 15, 1, 342.640232
r, a, s, 10485760, 31, 1, 480.611299
r, a, r, 10485760, 31, 1, 341.647117
r, a, s, 10485760, 31, 1, 480.307884
r, a, r, 10485760, 31, 1, 339.703266
r, a, s, 10485760, 62, 1, 477.948654
r, a, r, 10485760, 62, 1, 326.988034
r, a, s, 10485760, 62, 1, 477.538075
r, a, r, 10485760, 62, 1, 328.094451
