"size","type","time", "cost"
"1","o", 4347.868, 1.706
"2","o", 2315.552, 1.706
"4","o", 1356.174, 3.412
"8","o", 848.74, 6.824
1, p, 4402.5044, 1.706
2, p, 2331.5044, 1.706
3, p, 1640.5044, 2.559
4, p, 1295.5044, 3.412
5, p, 1088.5044, 4.265
6, p, 950.5044, 5.118
7, p, 851.5044, 5.971
8, p, 777.5044, 6.824
12, p, 604.5044, 10.236
16, p, 518.5044, 13.648
