1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.09844 s, 500 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.0343 s, 346 MB/s
2015-08-19 01:13:57.767292
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.63807 s, 397 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.19737 s, 328 MB/s
2015-08-19 01:14:05.092750
w, s, s, 1048576, 1, 0, 352.123139
w, s, r, 1048576, 1, 0, 340.720473
r, s, s, 1048576, 1, 0, 289.917746
r, s, r, 1048576, 1, 0, 277.463967
w, s, s, 1048576, 1, 0, 362.995101
w, s, r, 1048576, 1, 0, 343.493404
r, s, s, 1048576, 1, 0, 287.031735
r, s, r, 1048576, 1, 0, 285.666380
w, s, s, 10485760, 1, 0, 338.362533
w, s, r, 10485760, 1, 0, 335.099881
r, s, s, 10485760, 1, 0, 289.431776
r, s, r, 10485760, 1, 0, 288.926694
w, s, s, 10485760, 1, 0, 340.002267
w, s, r, 10485760, 1, 0, 340.648887
r, s, s, 10485760, 1, 0, 283.845985
r, s, r, 10485760, 1, 0, 284.260791
w, s, s, 1048576, 1, 1, 321.711543
w, s, r, 1048576, 1, 1, 323.594736
r, s, s, 1048576, 1, 1, 324.993162
r, s, r, 1048576, 1, 1, 320.837351
w, s, s, 1048576, 1, 1, 323.241566
w, s, r, 1048576, 1, 1, 324.361590
r, s, s, 1048576, 1, 1, 323.297066
r, s, r, 1048576, 1, 1, 321.586599
w, s, s, 10485760, 1, 1, 371.586490
w, s, r, 10485760, 1, 1, 367.663254
r, s, s, 10485760, 1, 1, 418.923642
r, s, r, 10485760, 1, 1, 403.822852
w, s, s, 10485760, 1, 1, 371.037343
w, s, r, 10485760, 1, 1, 370.685213
r, s, s, 10485760, 1, 1, 387.574875
r, s, r, 10485760, 1, 1, 390.087070
r, a, s, 1048576, 1, 0, 294.189022
r, a, r, 1048576, 1, 0, 281.448536
r, a, s, 1048576, 1, 0, 290.350398
r, a, r, 1048576, 1, 0, 279.764326
r, a, s, 1048576, 15, 0, 296.626678
r, a, r, 1048576, 15, 0, 276.918057
r, a, s, 1048576, 15, 0, 296.876333
r, a, r, 1048576, 15, 0, 277.213151
r, a, s, 1048576, 31, 0, 294.749880
r, a, r, 1048576, 31, 0, 276.380580
r, a, s, 1048576, 31, 0, 298.404209
r, a, r, 1048576, 31, 0, 277.896425
r, a, s, 1048576, 62, 0, 294.887316
r, a, r, 1048576, 62, 0, 274.781599
r, a, s, 1048576, 62, 0, 290.768684
r, a, r, 1048576, 62, 0, 277.630108
r, a, s, 10485760, 1, 0, 294.596447
r, a, r, 10485760, 1, 0, 291.359145
r, a, s, 10485760, 1, 0, 296.766837
r, a, r, 10485760, 1, 0, 289.547799
r, a, s, 10485760, 15, 0, 290.184023
r, a, r, 10485760, 15, 0, 283.615040
r, a, s, 10485760, 15, 0, 291.045302
r, a, r, 10485760, 15, 0, 285.780102
r, a, s, 10485760, 31, 0, 284.755937
r, a, r, 10485760, 31, 0, 286.185256
r, a, s, 10485760, 31, 0, 287.375351
r, a, r, 10485760, 31, 0, 283.187710
r, a, s, 10485760, 62, 0, 280.322960
r, a, r, 10485760, 62, 0, 278.779508
r, a, s, 10485760, 62, 0, 283.903227
r, a, r, 10485760, 62, 0, 281.048076
r, a, s, 1048576, 1, 1, 353.741739
r, a, r, 1048576, 1, 1, 278.548149
r, a, s, 1048576, 1, 1, 354.157922
r, a, r, 1048576, 1, 1, 280.226026
r, a, s, 1048576, 15, 1, 455.760394
r, a, r, 1048576, 15, 1, 274.509416
r, a, s, 1048576, 15, 1, 451.670696
r, a, r, 1048576, 15, 1, 280.562114
r, a, s, 1048576, 31, 1, 433.338485
r, a, r, 1048576, 31, 1, 312.091477
r, a, s, 1048576, 31, 1, 428.948391
r, a, r, 1048576, 31, 1, 311.306283
r, a, s, 1048576, 62, 1, 434.054562
r, a, r, 1048576, 62, 1, 312.572384
r, a, s, 1048576, 62, 1, 430.092031
r, a, r, 1048576, 62, 1, 311.595852
r, a, s, 10485760, 1, 1, 455.114430
r, a, r, 10485760, 1, 1, 327.884218
r, a, s, 10485760, 1, 1, 455.326625
r, a, r, 10485760, 1, 1, 326.238610
r, a, s, 10485760, 15, 1, 434.665395
r, a, r, 10485760, 15, 1, 325.631835
r, a, s, 10485760, 15, 1, 431.775524
r, a, r, 10485760, 15, 1, 325.827270
r, a, s, 10485760, 31, 1, 436.378717
r, a, r, 10485760, 31, 1, 322.275781
r, a, s, 10485760, 31, 1, 446.477970
r, a, r, 10485760, 31, 1, 322.426894
r, a, s, 10485760, 62, 1, 440.074210
r, a, r, 10485760, 62, 1, 318.023836
r, a, s, 10485760, 62, 1, 438.886673
r, a, r, 10485760, 62, 1, 322.513264
