1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04602 s, 512 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.85531 s, 367 MB/s
2016-01-12
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.96464 s, 354 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.84683 s, 368 MB/s
2016-01-12
w, s, s, 1048576, 1, 0, 390.749371
w, s, r, 1048576, 1, 0, 391.984698
r, s, s, 1048576, 1, 0, 296.829586
r, s, r, 1048576, 1, 0, 295.899601
w, s, s, 1048576, 1, 0, 386.733564
w, s, r, 1048576, 1, 0, 391.706270
r, s, s, 1048576, 1, 0, 290.035826
r, s, r, 1048576, 1, 0, 284.421288
w, s, s, 10485760, 1, 0, 380.966885
w, s, r, 10485760, 1, 0, 392.441333
r, s, s, 10485760, 1, 0, 295.116091
r, s, r, 10485760, 1, 0, 289.032386
w, s, s, 10485760, 1, 0, 378.115960
w, s, r, 10485760, 1, 0, 387.118112
r, s, s, 10485760, 1, 0, 277.992638
r, s, r, 10485760, 1, 0, 274.534567
w, s, s, 1048576, 1, 1, 364.426037
w, s, r, 1048576, 1, 1, 374.038822
r, s, s, 1048576, 1, 1, 337.359105
r, s, r, 1048576, 1, 1, 334.123712
w, s, s, 1048576, 1, 1, 371.814553
w, s, r, 1048576, 1, 1, 377.776377
r, s, s, 1048576, 1, 1, 330.996575
r, s, r, 1048576, 1, 1, 334.043585
w, s, s, 10485760, 1, 1, 410.692700
w, s, r, 10485760, 1, 1, 410.258347
r, s, s, 10485760, 1, 1, 399.772719
r, s, r, 10485760, 1, 1, 412.637814
w, s, s, 10485760, 1, 1, 405.175998
w, s, r, 10485760, 1, 1, 413.403155
r, s, s, 10485760, 1, 1, 418.527763
r, s, r, 10485760, 1, 1, 415.155939
r, a, s, 1048576, 1, 0, 292.222670
r, a, r, 1048576, 1, 0, 280.407698
r, a, s, 1048576, 1, 0, 291.952378
r, a, r, 1048576, 1, 0, 283.289407
r, a, s, 1048576, 15, 0, 288.700430
r, a, r, 1048576, 15, 0, 276.493977
r, a, s, 1048576, 15, 0, 288.904155
r, a, r, 1048576, 15, 0, 277.350119
r, a, s, 1048576, 31, 0, 289.700611
r, a, r, 1048576, 31, 0, 279.708247
r, a, s, 1048576, 31, 0, 293.609952
r, a, r, 1048576, 31, 0, 278.510176
r, a, s, 1048576, 62, 0, 297.887774
r, a, r, 1048576, 62, 0, 278.153776
r, a, s, 1048576, 62, 0, 294.583955
r, a, r, 1048576, 62, 0, 279.243575
r, a, s, 10485760, 1, 0, 293.418843
r, a, r, 10485760, 1, 0, 288.096817
r, a, s, 10485760, 1, 0, 287.129678
r, a, r, 10485760, 1, 0, 285.623786
r, a, s, 10485760, 15, 0, 290.053020
r, a, r, 10485760, 15, 0, 284.402481
r, a, s, 10485760, 15, 0, 288.479468
r, a, r, 10485760, 15, 0, 285.671887
r, a, s, 10485760, 31, 0, 285.275733
r, a, r, 10485760, 31, 0, 282.844541
r, a, s, 10485760, 31, 0, 285.941149
r, a, r, 10485760, 31, 0, 283.704581
r, a, s, 10485760, 62, 0, 282.712229
r, a, r, 10485760, 62, 0, 279.145898
r, a, s, 10485760, 62, 0, 282.783905
r, a, r, 10485760, 62, 0, 280.732441
r, a, s, 1048576, 1, 1, 348.381233
r, a, r, 1048576, 1, 1, 280.702048
r, a, s, 1048576, 1, 1, 347.847322
r, a, r, 1048576, 1, 1, 279.330393
r, a, s, 1048576, 15, 1, 435.402757
r, a, r, 1048576, 15, 1, 277.792573
r, a, s, 1048576, 15, 1, 434.956671
r, a, r, 1048576, 15, 1, 278.623233
r, a, s, 1048576, 31, 1, 432.306152
r, a, r, 1048576, 31, 1, 276.451198
r, a, s, 1048576, 31, 1, 434.291500
r, a, r, 1048576, 31, 1, 294.637088
r, a, s, 1048576, 62, 1, 476.377546
r, a, r, 1048576, 62, 1, 314.657290
r, a, s, 1048576, 62, 1, 476.552924
r, a, r, 1048576, 62, 1, 315.200905
r, a, s, 10485760, 1, 1, 467.904584
r, a, r, 10485760, 1, 1, 327.441073
r, a, s, 10485760, 1, 1, 467.300910
r, a, r, 10485760, 1, 1, 329.477802
r, a, s, 10485760, 15, 1, 476.669680
r, a, r, 10485760, 15, 1, 324.234823
r, a, s, 10485760, 15, 1, 476.660271
r, a, r, 10485760, 15, 1, 325.051641
r, a, s, 10485760, 31, 1, 477.489715
r, a, r, 10485760, 31, 1, 323.024792
r, a, s, 10485760, 31, 1, 477.205072
r, a, r, 10485760, 31, 1, 321.829588
r, a, s, 10485760, 62, 1, 477.598921
r, a, r, 10485760, 62, 1, 318.728459
r, a, s, 10485760, 62, 1, 477.496328
r, a, r, 10485760, 62, 1, 318.672135
