# 1, 100g, 41943040, false, read
size, 0, 0
read, 0, 389165
network, 0, 49690
read, 1, 385934
network, 1, 48066
read, 2, 376777
network, 2, 47958
read, 3, 374966
network, 3, 48130
read, 4, 372684
network, 4, 47914
read, 5, 367950
network, 5, 48088
read, 6, 366039
network, 6, 47969
read, 7, 373677
network, 7, 48022
read, 8, 365013
network, 8, 48012
read, 9, 362778
network, 9, 47982
read, 10, 357146
network, 10, 47957
read, 11, 353474
network, 11, 48089
read, 12, 346293
network, 12, 47954
read, 13, 341517
network, 13, 48074
read, 14, 335292
network, 14, 47930
read, 15, 330101
network, 15, 47943
read, 16, 323876
network, 16, 47922
read, 17, 321694
network, 17, 47986
read, 18, 316404
network, 18, 47860
read, 19, 305474
network, 19, 47962
read, 20, 295398
network, 20, 47960
read, 21, 289110
network, 21, 47998
read, 22, 287367
network, 22, 48009
read, 23, 289517
network, 23, 47934
read, 24, 288049
network, 24, 47941
cmd-read, 0, 9718422
