# 1, 200g, 83886080, false, read
size, 0, 0
read, 0, 739150
network, 0, 103135
read, 1, 735668
network, 1, 99744
read, 2, 741496
network, 2, 99806
read, 3, 727354
network, 3, 99930
read, 4, 742777
network, 4, 99857
read, 5, 739348
network, 5, 99839
read, 6, 709905
network, 6, 99748
read, 7, 702173
network, 7, 99797
read, 8, 695326
network, 8, 99866
read, 9, 683648
network, 9, 99831
read, 10, 670911
network, 10, 99849
read, 11, 663026
network, 11, 99737
read, 12, 656961
network, 12, 99763
read, 13, 641942
network, 13, 99819
read, 14, 629103
network, 14, 99732
read, 15, 616206
network, 15, 99817
read, 16, 626601
network, 16, 99725
read, 17, 613167
network, 17, 99773
read, 18, 603943
network, 18, 99754
read, 19, 584946
network, 19, 99806
read, 20, 572558
network, 20, 99906
read, 21, 523388
network, 21, 99701
read, 22, 480296
network, 22, 99972
read, 23, 471673
network, 23, 99741
read, 24, 472625
network, 24, 100059
