1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.6771 s, 392 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.05979 s, 343 MB/s
2015-09-20 20:46:32.017964
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.89834 s, 362 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.25474 s, 322 MB/s
2015-09-20 20:46:39.821965
w, s, s, 1048576, 1, 0, 335.626585
w, s, r, 1048576, 1, 0, 341.514225
r, s, s, 1048576, 1, 0, 339.805491
r, s, r, 1048576, 1, 0, 328.240446
w, s, s, 1048576, 1, 0, 332.356037
w, s, r, 1048576, 1, 0, 340.891482
r, s, s, 1048576, 1, 0, 290.340618
r, s, r, 1048576, 1, 0, 319.475845
w, s, s, 10485760, 1, 0, 321.840420
w, s, r, 10485760, 1, 0, 330.133389
r, s, s, 10485760, 1, 0, 330.856299
r, s, r, 10485760, 1, 0, 359.058356
w, s, s, 10485760, 1, 0, 321.408401
w, s, r, 10485760, 1, 0, 326.632040
r, s, s, 10485760, 1, 0, 317.766426
r, s, r, 10485760, 1, 0, 310.200685
w, s, s, 1048576, 1, 1, 250.421574
w, s, r, 1048576, 1, 1, 251.346204
r, s, s, 1048576, 1, 1, 436.783316
r, s, r, 1048576, 1, 1, 438.243406
r, a, s, 10485760, 1, 1, 403.183448
w, s, s, 1048576, 1, 1, 258.950010
w, s, r, 1048576, 1, 1, 268.808132
r, s, s, 1048576, 1, 1, 353.497604
r, s, r, 1048576, 1, 1, 356.629457
w, s, s, 10485760, 1, 1, 348.561694
w, s, r, 10485760, 1, 1, 350.204362
r, s, s, 10485760, 1, 1, 370.599816
r, s, r, 10485760, 1, 1, 370.836644
w, s, s, 10485760, 1, 1, 351.093756
w, s, r, 10485760, 1, 1, 353.529295
r, s, s, 10485760, 1, 1, 319.225130
r, s, r, 10485760, 1, 1, 322.555110
r, a, s, 1048576, 1, 0, 383.251024
r, a, r, 1048576, 1, 0, 359.644427
r, a, s, 1048576, 1, 0, 376.939338
r, a, r, 1048576, 1, 0, 354.756645
r, a, s, 1048576, 15, 0, 377.217009
r, a, r, 1048576, 15, 0, 342.644831
r, a, s, 1048576, 15, 0, 369.571020
r, a, r, 1048576, 15, 0, 346.609502
r, a, s, 1048576, 31, 0, 369.378237
r, a, r, 1048576, 31, 0, 346.909198
r, a, s, 1048576, 31, 0, 373.523113
r, a, r, 1048576, 31, 0, 352.827727
r, a, s, 1048576, 62, 0, 331.869571
r, a, r, 1048576, 62, 0, 318.154440
r, a, s, 1048576, 62, 0, 367.183775
r, a, r, 1048576, 62, 0, 339.850132
r, a, s, 10485760, 1, 0, 371.417412
r, a, r, 10485760, 1, 0, 376.088576
r, a, s, 10485760, 1, 0, 386.373848
r, a, r, 10485760, 1, 0, 373.832749
r, a, s, 10485760, 15, 0, 363.808255
r, a, r, 10485760, 15, 0, 362.192995
r, a, s, 10485760, 15, 0, 368.153997
r, a, r, 10485760, 15, 0, 374.101733
r, a, s, 10485760, 31, 0, 349.940293
r, a, r, 10485760, 31, 0, 361.397168
r, a, s, 10485760, 31, 0, 348.656824
r, a, r, 10485760, 31, 0, 341.457668
r, a, s, 10485760, 62, 0, 298.245785
r, a, r, 10485760, 62, 0, 348.396427
r, a, s, 10485760, 62, 0, 352.825827
r, a, r, 10485760, 62, 0, 350.350779
r, a, s, 1048576, 1, 1, 492.899565
r, a, r, 1048576, 1, 1, 355.826107
r, a, s, 1048576, 1, 1, 503.601527
r, a, r, 1048576, 1, 1, 353.643803
r, a, s, 1048576, 15, 1, 552.208039
r, a, r, 1048576, 15, 1, 352.467051
r, a, s, 1048576, 15, 1, 535.504132
r, a, r, 1048576, 15, 1, 355.667836
r, a, s, 1048576, 31, 1, 542.029110
r, a, r, 1048576, 31, 1, 390.691782
r, a, s, 1048576, 31, 1, 575.274934
r, a, r, 1048576, 31, 1, 347.245553
r, a, s, 1048576, 62, 1, 595.313239
r, a, r, 1048576, 62, 1, 389.816400
r, a, s, 1048576, 62, 1, 562.325716
r, a, r, 1048576, 62, 1, 387.866586
r, a, s, 10485760, 1, 1, 390.486032
r, a, r, 10485760, 1, 1, 427.278702
r, a, s, 10485760, 1, 1, 403.183448
r, a, r, 10485760, 1, 1, 412.792185
r, a, s, 10485760, 15, 1, 570.155358
r, a, r, 10485760, 15, 1, 403.402277
r, a, s, 10485760, 15, 1, 601.415783
r, a, r, 10485760, 15, 1, 399.502989
r, a, s, 10485760, 31, 1, 613.721786
r, a, r, 10485760, 31, 1, 401.789418
r, a, s, 10485760, 31, 1, 596.659833
r, a, r, 10485760, 31, 1, 355.076490
r, a, s, 10485760, 62, 1, 595.039570
r, a, r, 10485760, 62, 1, 354.173489
r, a, s, 10485760, 62, 1, 584.291218
r, a, r, 10485760, 62, 1, 390.995074
