1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.10512 s, 498 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.159 s, 332 MB/s
2015-08-29 02:55:03.927920
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.53328 s, 414 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.17199 s, 331 MB/s
2015-08-29 02:55:11.279181
w, s, s, 1048576, 1, 0, 333.349620
w, s, r, 1048576, 1, 0, 334.931882
r, s, s, 1048576, 1, 0, 289.694369
r, s, r, 1048576, 1, 0, 272.563323
w, s, s, 1048576, 1, 0, 339.860472
w, s, r, 1048576, 1, 0, 351.827979
r, s, s, 1048576, 1, 0, 281.582636
r, s, r, 1048576, 1, 0, 278.782229
w, s, s, 10485760, 1, 0, 341.957525
w, s, r, 10485760, 1, 0, 348.576649
r, s, s, 10485760, 1, 0, 279.087323
r, s, r, 10485760, 1, 0, 278.131719
w, s, s, 10485760, 1, 0, 337.858154
w, s, r, 10485760, 1, 0, 329.654275
r, s, s, 10485760, 1, 0, 286.671508
r, s, r, 10485760, 1, 0, 285.533282
w, s, s, 1048576, 1, 1, 320.355761
w, s, r, 1048576, 1, 1, 323.103975
r, s, s, 1048576, 1, 1, 326.127200
r, s, r, 1048576, 1, 1, 327.175434
w, s, s, 1048576, 1, 1, 319.050839
w, s, r, 1048576, 1, 1, 321.727116
r, s, s, 1048576, 1, 1, 320.996015
r, s, r, 1048576, 1, 1, 320.481804
w, s, s, 10485760, 1, 1, 375.675208
w, s, r, 10485760, 1, 1, 372.206200
r, s, s, 10485760, 1, 1, 399.284819
r, s, r, 10485760, 1, 1, 401.340272
w, s, s, 10485760, 1, 1, 376.735083
w, s, r, 10485760, 1, 1, 374.857061
r, s, s, 10485760, 1, 1, 400.379271
r, s, r, 10485760, 1, 1, 406.234338
r, a, s, 1048576, 1, 0, 285.216012
r, a, r, 1048576, 1, 0, 278.597228
r, a, s, 1048576, 1, 0, 287.555086
r, a, r, 1048576, 1, 0, 278.279444
r, a, s, 1048576, 15, 0, 288.193752
r, a, r, 1048576, 15, 0, 277.127923
r, a, s, 1048576, 15, 0, 289.487313
r, a, r, 1048576, 15, 0, 277.482245
r, a, s, 1048576, 31, 0, 271.429050
r, a, r, 1048576, 31, 0, 259.358633
r, a, s, 1048576, 31, 0, 267.311478
r, a, r, 1048576, 31, 0, 259.527025
r, a, s, 1048576, 62, 0, 270.988232
r, a, r, 1048576, 62, 0, 258.415135
r, a, s, 1048576, 62, 0, 267.234722
r, a, r, 1048576, 62, 0, 257.243127
r, a, s, 10485760, 1, 0, 264.461473
r, a, r, 10485760, 1, 0, 263.430190
r, a, s, 10485760, 1, 0, 268.406196
r, a, r, 10485760, 1, 0, 263.478638
r, a, s, 10485760, 15, 0, 265.552792
r, a, r, 10485760, 15, 0, 263.265874
r, a, s, 10485760, 15, 0, 265.412564
r, a, r, 10485760, 15, 0, 258.746726
r, a, s, 10485760, 31, 0, 283.493501
r, a, r, 10485760, 31, 0, 280.818509
r, a, s, 10485760, 31, 0, 280.121201
r, a, r, 10485760, 31, 0, 279.312560
r, a, s, 10485760, 62, 0, 277.079040
r, a, r, 10485760, 62, 0, 276.899064
r, a, s, 10485760, 62, 0, 277.575741
r, a, r, 10485760, 62, 0, 276.999238
r, a, s, 1048576, 1, 1, 351.270219
r, a, r, 1048576, 1, 1, 279.434780
r, a, s, 1048576, 1, 1, 392.500628
r, a, r, 1048576, 1, 1, 316.186814
r, a, s, 1048576, 15, 1, 467.768834
r, a, r, 1048576, 15, 1, 312.304161
r, a, s, 1048576, 15, 1, 467.266888
r, a, r, 1048576, 15, 1, 312.336001
r, a, s, 1048576, 31, 1, 432.005559
r, a, r, 1048576, 31, 1, 314.968514
r, a, s, 1048576, 31, 1, 434.005255
r, a, r, 1048576, 31, 1, 311.933936
r, a, s, 1048576, 62, 1, 431.760945
r, a, r, 1048576, 62, 1, 312.033150
r, a, s, 1048576, 62, 1, 432.483266
r, a, r, 1048576, 62, 1, 312.862318
r, a, s, 10485760, 1, 1, 459.551691
r, a, r, 10485760, 1, 1, 326.316219
r, a, s, 10485760, 1, 1, 459.339435
r, a, r, 10485760, 1, 1, 325.271275
r, a, s, 10485760, 15, 1, 437.615520
r, a, r, 10485760, 15, 1, 325.260972
r, a, s, 10485760, 15, 1, 445.051429
r, a, r, 10485760, 15, 1, 324.883467
r, a, s, 10485760, 31, 1, 438.749060
r, a, r, 10485760, 31, 1, 320.755344
r, a, s, 10485760, 31, 1, 437.828974
r, a, r, 10485760, 31, 1, 321.015079
r, a, s, 10485760, 62, 1, 440.699000
r, a, r, 10485760, 62, 1, 318.287347
r, a, s, 10485760, 62, 1, 440.855545
r, a, r, 10485760, 62, 1, 316.827450
