1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04009 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.8325 s, 370 MB/s
2015-11-28 02:50:20.684683
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.77526 s, 378 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.89091 s, 363 MB/s
2015-11-28 02:50:27.592682
w, s, s, 1048576, 1, 0, 388.132396
w, s, r, 1048576, 1, 0, 380.773642
r, s, s, 1048576, 1, 0, 317.597883
r, s, r, 1048576, 1, 0, 303.093341
w, s, s, 1048576, 1, 0, 380.591760
w, s, r, 1048576, 1, 0, 389.719233
r, s, s, 1048576, 1, 0, 330.931594
r, s, r, 1048576, 1, 0, 323.485181
w, s, s, 10485760, 1, 0, 377.744869
w, s, r, 10485760, 1, 0, 389.094217
r, s, s, 10485760, 1, 0, 357.184946
r, s, r, 10485760, 1, 0, 338.676591
w, s, s, 10485760, 1, 0, 374.563871
w, s, r, 10485760, 1, 0, 388.462257
r, s, s, 10485760, 1, 0, 327.499474
r, s, r, 10485760, 1, 0, 316.823018
w, s, s, 1048576, 1, 1, 410.524202
w, s, r, 1048576, 1, 1, 424.339700
r, s, s, 1048576, 1, 1, 391.209427
r, s, r, 1048576, 1, 1, 391.607505
w, s, s, 1048576, 1, 1, 427.241809
w, s, r, 1048576, 1, 1, 424.121353
r, s, s, 1048576, 1, 1, 386.510091
r, s, r, 1048576, 1, 1, 398.611864
w, s, s, 10485760, 1, 1, 449.140470
w, s, r, 10485760, 1, 1, 449.269892
r, s, s, 10485760, 1, 1, 457.879331
r, s, r, 10485760, 1, 1, 453.824886
w, s, s, 10485760, 1, 1, 451.140547
w, s, r, 10485760, 1, 1, 451.555224
r, s, s, 10485760, 1, 1, 462.610442
r, s, r, 10485760, 1, 1, 449.823879
r, a, s, 1048576, 1, 0, 323.480461
r, a, r, 1048576, 1, 0, 316.552612
r, a, s, 1048576, 1, 0, 326.288450
r, a, r, 1048576, 1, 0, 313.681854
r, a, s, 1048576, 15, 0, 323.699430
r, a, r, 1048576, 15, 0, 312.739438
r, a, s, 1048576, 15, 0, 325.414681
r, a, r, 1048576, 15, 0, 309.287856
r, a, s, 1048576, 31, 0, 322.529970
r, a, r, 1048576, 31, 0, 310.633047
r, a, s, 1048576, 31, 0, 325.211765
r, a, r, 1048576, 31, 0, 310.659099
r, a, s, 1048576, 62, 0, 339.385479
r, a, r, 1048576, 62, 0, 310.026786
r, a, s, 1048576, 62, 0, 323.870969
r, a, r, 1048576, 62, 0, 310.100279
r, a, s, 10485760, 1, 0, 323.930151
r, a, r, 10485760, 1, 0, 325.171351
r, a, s, 10485760, 1, 0, 326.095202
r, a, r, 10485760, 1, 0, 325.260030
r, a, s, 10485760, 15, 0, 323.142922
r, a, r, 10485760, 15, 0, 322.351775
r, a, s, 10485760, 15, 0, 323.028441
r, a, r, 10485760, 15, 0, 321.384528
r, a, s, 10485760, 31, 0, 320.705539
r, a, r, 10485760, 31, 0, 319.231441
r, a, s, 10485760, 31, 0, 320.471081
r, a, r, 10485760, 31, 0, 318.249771
r, a, s, 10485760, 62, 0, 314.486720
r, a, r, 10485760, 62, 0, 312.506316
r, a, s, 10485760, 62, 0, 314.780347
r, a, r, 10485760, 62, 0, 312.661523
r, a, s, 1048576, 1, 1, 390.719521
r, a, r, 1048576, 1, 1, 317.573393
r, a, s, 1048576, 1, 1, 390.589600
r, a, r, 1048576, 1, 1, 316.217143
r, a, s, 1048576, 15, 1, 477.431681
r, a, r, 1048576, 15, 1, 313.739067
r, a, s, 1048576, 15, 1, 476.288923
r, a, r, 1048576, 15, 1, 313.952384
r, a, s, 1048576, 31, 1, 469.720573
r, a, r, 1048576, 31, 1, 314.757872
r, a, s, 1048576, 31, 1, 474.069696
r, a, r, 1048576, 31, 1, 313.827456
r, a, s, 1048576, 62, 1, 476.518460
r, a, r, 1048576, 62, 1, 313.090803
r, a, s, 1048576, 62, 1, 475.776030
r, a, r, 1048576, 62, 1, 312.175760
r, a, s, 10485760, 1, 1, 463.679897
r, a, r, 10485760, 1, 1, 324.437781
r, a, s, 10485760, 1, 1, 465.586999
r, a, r, 10485760, 1, 1, 324.293952
r, a, s, 10485760, 15, 1, 477.425498
r, a, r, 10485760, 15, 1, 320.639373
r, a, s, 10485760, 15, 1, 476.957419
