1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04025 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.84246 s, 369 MB/s
2015-12-05 03:02:36.328202
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.48107 s, 423 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.78863 s, 376 MB/s
2015-12-05 03:02:43.246641
w, s, s, 1048576, 1, 0, 387.804848
w, s, r, 1048576, 1, 0, 385.980257
r, s, s, 1048576, 1, 0, 373.163229
r, s, r, 1048576, 1, 0, 329.575702
w, s, s, 1048576, 1, 0, 385.003543
w, s, r, 1048576, 1, 0, 389.765124
r, s, s, 1048576, 1, 0, 331.229954
r, s, r, 1048576, 1, 0, 320.455656
w, s, s, 10485760, 1, 0, 379.151650
w, s, r, 10485760, 1, 0, 388.625429
r, s, s, 10485760, 1, 0, 330.508801
r, s, r, 10485760, 1, 0, 329.972485
w, s, s, 10485760, 1, 0, 376.312197
w, s, r, 10485760, 1, 0, 389.547390
r, s, s, 10485760, 1, 0, 345.205134
r, s, r, 10485760, 1, 0, 328.973159
w, s, s, 1048576, 1, 1, 400.541657
w, s, r, 1048576, 1, 1, 414.399851
r, s, s, 1048576, 1, 1, 390.591535
r, s, r, 1048576, 1, 1, 384.493012
w, s, s, 1048576, 1, 1, 412.051819
w, s, r, 1048576, 1, 1, 411.787175
r, s, s, 1048576, 1, 1, 390.463412
r, s, r, 1048576, 1, 1, 395.948981
w, s, s, 10485760, 1, 1, 441.661146
w, s, r, 10485760, 1, 1, 440.129399
r, s, s, 10485760, 1, 1, 462.213970
r, s, r, 10485760, 1, 1, 458.268825
w, s, s, 10485760, 1, 1, 442.427795
w, s, r, 10485760, 1, 1, 441.903545
r, s, s, 10485760, 1, 1, 458.703511
r, s, r, 10485760, 1, 1, 467.380111
r, a, s, 1048576, 1, 0, 328.653886
r, a, r, 1048576, 1, 0, 321.426722
r, a, s, 1048576, 1, 0, 334.090028
r, a, r, 1048576, 1, 0, 322.233738
r, a, s, 1048576, 15, 0, 338.642458
r, a, r, 1048576, 15, 0, 319.150563
r, a, s, 1048576, 15, 0, 333.667297
r, a, r, 1048576, 15, 0, 316.933153
r, a, s, 1048576, 31, 0, 358.578465
r, a, r, 1048576, 31, 0, 317.531879
r, a, s, 1048576, 31, 0, 330.477046
r, a, r, 1048576, 31, 0, 316.957551
r, a, s, 1048576, 62, 0, 338.612659
r, a, r, 1048576, 62, 0, 317.573641
r, a, s, 1048576, 62, 0, 339.076281
r, a, r, 1048576, 62, 0, 322.551842
r, a, s, 10485760, 1, 0, 328.950850
r, a, r, 10485760, 1, 0, 327.780859
r, a, s, 10485760, 1, 0, 330.458899
r, a, r, 10485760, 1, 0, 330.133078
r, a, s, 10485760, 15, 0, 323.945026
r, a, r, 10485760, 15, 0, 327.544453
r, a, s, 10485760, 15, 0, 327.747199
r, a, r, 10485760, 15, 0, 322.414870
r, a, s, 10485760, 31, 0, 321.754444
r, a, r, 10485760, 31, 0, 323.094885
r, a, s, 10485760, 31, 0, 322.031555
r, a, r, 10485760, 31, 0, 321.070845
r, a, s, 10485760, 62, 0, 318.858481
r, a, r, 10485760, 62, 0, 317.550733
r, a, s, 10485760, 62, 0, 316.364340
r, a, r, 10485760, 62, 0, 318.983158
r, a, s, 1048576, 1, 1, 398.784872
r, a, r, 1048576, 1, 1, 318.226918
r, a, s, 1048576, 1, 1, 394.560534
r, a, r, 1048576, 1, 1, 319.928222
r, a, s, 1048576, 15, 1, 469.829031
r, a, r, 1048576, 15, 1, 313.947153
r, a, s, 1048576, 15, 1, 478.604478
r, a, r, 1048576, 15, 1, 317.389012
r, a, s, 1048576, 31, 1, 468.924696
r, a, r, 1048576, 31, 1, 316.773886
r, a, s, 1048576, 31, 1, 480.880315
r, a, r, 1048576, 31, 1, 315.195002
r, a, s, 1048576, 62, 1, 471.533693
r, a, r, 1048576, 62, 1, 315.670522
r, a, s, 1048576, 62, 1, 470.774061
r, a, r, 1048576, 62, 1, 312.502160
r, a, s, 10485760, 1, 1, 462.329904
r, a, r, 10485760, 1, 1, 327.758036
r, a, s, 10485760, 1, 1, 463.971984
r, a, r, 10485760, 1, 1, 325.092453
r, a, s, 10485760, 15, 1, 480.510537
r, a, r, 10485760, 15, 1, 323.976246
r, a, s, 10485760, 15, 1, 471.828952
r, a, r, 10485760, 15, 1, 322.869597
r, a, s, 10485760, 31, 1, 477.576071
r, a, r, 10485760, 31, 1, 320.097436
r, a, s, 10485760, 31, 1, 467.734885
r, a, r, 10485760, 31, 1, 321.682909
r, a, s, 10485760, 62, 1, 474.986045
r, a, r, 10485760, 62, 1, 313.752015
r, a, s, 10485760, 62, 1, 476.484688
r, a, r, 10485760, 62, 1, 316.338792
