1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.12955 s, 492 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.00147 s, 349 MB/s
2016-07-14 23:44:09.050880
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.60651 s, 402 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.19825 s, 328 MB/s
2016-07-14 23:44:16.302586
w, s, s, 1048576, 1, 0, 325.029673
w, s, r, 1048576, 1, 0, 348.623349
r, s, s, 1048576, 1, 0, 314.813827
r, s, r, 1048576, 1, 0, 275.574640
w, s, s, 1048576, 1, 0, 350.006889
w, s, r, 1048576, 1, 0, 351.936668
r, s, s, 1048576, 1, 0, 289.504885
r, s, r, 1048576, 1, 0, 272.576927
w, s, s, 10485760, 1, 0, 332.245255
w, s, r, 10485760, 1, 0, 346.351244
r, s, s, 10485760, 1, 0, 307.019078
r, s, r, 10485760, 1, 0, 280.119650
w, s, s, 10485760, 1, 0, 308.979862
w, s, r, 10485760, 1, 0, 326.830321
r, s, s, 10485760, 1, 0, 315.151392
r, s, r, 10485760, 1, 0, 306.628030
w, s, s, 1048576, 1, 1, 347.638370
w, s, r, 1048576, 1, 1, 347.013548
r, s, s, 1048576, 1, 1, 336.959753
r, s, r, 1048576, 1, 1, 337.239395
w, s, s, 1048576, 1, 1, 349.570574
w, s, r, 1048576, 1, 1, 351.681422
r, s, s, 1048576, 1, 1, 340.661392
r, s, r, 1048576, 1, 1, 343.945968
w, s, s, 10485760, 1, 1, 383.873508
w, s, r, 10485760, 1, 1, 394.386474
r, s, s, 10485760, 1, 1, 410.822547
r, s, r, 10485760, 1, 1, 408.600780
w, s, s, 10485760, 1, 1, 381.775929
w, s, r, 10485760, 1, 1, 378.004410
r, s, s, 10485760, 1, 1, 403.212677
r, s, r, 10485760, 1, 1, 406.929930
r, a, s, 1048576, 1, 0, 337.362454
r, a, r, 1048576, 1, 0, 290.716343
r, a, s, 1048576, 1, 0, 347.954659
r, a, r, 1048576, 1, 0, 288.493484
r, a, s, 1048576, 15, 0, 355.330650
r, a, r, 1048576, 15, 0, 280.870051
r, a, s, 1048576, 15, 0, 355.733216
r, a, r, 1048576, 15, 0, 282.976522
r, a, s, 1048576, 31, 0, 356.550577
r, a, r, 1048576, 31, 0, 284.545161
r, a, s, 1048576, 31, 0, 358.115432
r, a, r, 1048576, 31, 0, 282.661756
r, a, s, 1048576, 62, 0, 351.596923
r, a, r, 1048576, 62, 0, 282.102979
r, a, s, 1048576, 62, 0, 355.784136
r, a, r, 1048576, 62, 0, 284.162523
r, a, s, 10485760, 1, 0, 361.147316
r, a, r, 10485760, 1, 0, 327.280340
r, a, s, 10485760, 1, 0, 351.665121
r, a, r, 10485760, 1, 0, 327.155448
r, a, s, 10485760, 15, 0, 332.750522
r, a, r, 10485760, 15, 0, 313.028759
r, a, s, 10485760, 15, 0, 328.025877
r, a, r, 10485760, 15, 0, 309.191304
r, a, s, 10485760, 31, 0, 322.815793
r, a, r, 10485760, 31, 0, 308.934179
r, a, s, 10485760, 31, 0, 325.454019
r, a, r, 10485760, 31, 0, 308.330523
r, a, s, 10485760, 62, 0, 316.639434
r, a, r, 10485760, 62, 0, 300.938688
r, a, s, 10485760, 62, 0, 316.322453
r, a, r, 10485760, 62, 0, 297.652274
r, a, s, 1048576, 1, 1, 368.163521
r, a, r, 1048576, 1, 1, 287.351756
r, a, s, 1048576, 1, 1, 362.947240
r, a, r, 1048576, 1, 1, 289.895639
r, a, s, 1048576, 15, 1, 441.531434
r, a, r, 1048576, 15, 1, 281.247898
r, a, s, 1048576, 15, 1, 441.704470
r, a, r, 1048576, 15, 1, 280.338728
r, a, s, 1048576, 31, 1, 414.619374
r, a, r, 1048576, 31, 1, 277.626646
r, a, s, 1048576, 31, 1, 417.003032
r, a, r, 1048576, 31, 1, 284.270024
r, a, s, 1048576, 62, 1, 432.348566
r, a, r, 1048576, 62, 1, 284.164952
r, a, s, 1048576, 62, 1, 411.046531
r, a, r, 1048576, 62, 1, 279.211140
r, a, s, 10485760, 1, 1, 431.479599
r, a, r, 10485760, 1, 1, 319.694133
r, a, s, 10485760, 1, 1, 432.992246
r, a, r, 10485760, 1, 1, 323.211101
r, a, s, 10485760, 15, 1, 419.157001
r, a, r, 10485760, 15, 1, 318.156992
r, a, s, 10485760, 15, 1, 431.356948
r, a, r, 10485760, 15, 1, 313.902611
r, a, s, 10485760, 31, 1, 421.205126
r, a, r, 10485760, 31, 1, 316.173568
r, a, s, 10485760, 31, 1, 424.627253
r, a, r, 10485760, 31, 1, 312.131157
r, a, s, 10485760, 62, 1, 428.394708
r, a, r, 10485760, 62, 1, 297.231750
r, a, s, 10485760, 62, 1, 425.991257
r, a, r, 10485760, 62, 1, 290.122818
