# 1, 50, 0.5, false, read
size, 0, 0
read, 0, 147492
network, 0, 2690
read, 1, 124651
network, 1, 2462
read, 2, 125118
network, 2, 2463
read, 3, 124976
network, 3, 2460
read, 4, 125240
network, 4, 2463
read, 5, 125044
network, 5, 2459
read, 6, 125021
network, 6, 2461
read, 7, 125421
network, 7, 2645
read, 8, 125122
network, 8, 2542
read, 9, 124790
network, 9, 2563
read, 10, 125002
network, 10, 2533
read, 11, 124809
network, 11, 2539
read, 12, 124348
network, 12, 2552
read, 13, 125174
network, 13, 2544
read, 14, 124674
network, 14, 2567
read, 15, 125677
network, 15, 2547
read, 16, 124516
network, 16, 2594
read, 17, 125415
network, 17, 2564
read, 18, 125063
network, 18, 2546
read, 19, 124670
network, 19, 2542
read, 20, 125313
network, 20, 2624
read, 21, 125430
network, 21, 2558
read, 22, 125105
network, 22, 2544
read, 23, 124900
network, 23, 2550
read, 24, 125051
network, 24, 2545
read, 25, 125275
network, 25, 2603
read, 26, 124649
network, 26, 2465
read, 27, 124752
network, 27, 2467
read, 28, 125570
network, 28, 2460
read, 29, 125757
network, 29, 2458
read, 30, 124989
network, 30, 2461
read, 31, 124855
network, 31, 2459
read, 32, 125502
network, 32, 2462
read, 33, 125002
network, 33, 2666
read, 34, 124512
network, 34, 2527
read, 35, 124677
network, 35, 2542
read, 36, 125007
network, 36, 2577
read, 37, 125017
network, 37, 2550
read, 38, 124954
network, 38, 2546
read, 39, 124900
network, 39, 2545
read, 40, 124311
network, 40, 2541
read, 41, 125033
network, 41, 2523
read, 42, 128267
network, 42, 2539
read, 43, 124355
network, 43, 2539
read, 44, 123795
network, 44, 2556
read, 45, 124131
network, 45, 2558
read, 46, 123739
network, 46, 2531
read, 47, 123413
network, 47, 2528
read, 48, 123963
network, 48, 2570
read, 49, 123976
network, 49, 2523
read, 50, 123365
network, 50, 2558
read, 51, 123350
network, 51, 2522
read, 52, 123516
network, 52, 2511
read, 53, 123828
network, 53, 2584
read, 54, 123332
network, 54, 2552
read, 55, 123189
network, 55, 2550
read, 56, 122776
network, 56, 2541
read, 57, 123237
network, 57, 2571
read, 58, 122870
network, 58, 2534
read, 59, 123227
network, 59, 2577
read, 60, 122641
network, 60, 2610
read, 61, 122460
network, 61, 2559
read, 62, 122670
network, 62, 2550
read, 63, 122916
network, 63, 2551
read, 64, 121936
network, 64, 2532
read, 65, 121925
network, 65, 2549
read, 66, 121326
network, 66, 2545
read, 67, 121422
network, 67, 2536
read, 68, 121472
network, 68, 2537
read, 69, 121359
network, 69, 2530
read, 70, 121537
network, 70, 2550
read, 71, 121597
network, 71, 2566
read, 72, 120912
network, 72, 2547
read, 73, 120976
network, 73, 2618
read, 74, 120725
network, 74, 2559
read, 75, 120548
network, 75, 2552
read, 76, 120896
network, 76, 2545
read, 77, 120172
network, 77, 2554
read, 78, 119803
network, 78, 2531
read, 79, 119365
network, 79, 2543
read, 80, 119490
network, 80, 2528
read, 81, 119398
network, 81, 2553
read, 82, 119690
network, 82, 2567
read, 83, 119480
network, 83, 2566
read, 84, 118865
network, 84, 2550
read, 85, 119643
network, 85, 2540
read, 86, 118770
network, 86, 2551
read, 87, 120923
network, 87, 2578
read, 88, 119248
network, 88, 2553
read, 89, 119909
network, 89, 2463
read, 90, 119452
network, 90, 2484
read, 91, 118802
network, 91, 2549
read, 92, 119255
network, 92, 2575
read, 93, 119797
network, 93, 2565
read, 94, 120122
network, 94, 2541
read, 95, 119417
network, 95, 2551
read, 96, 119362
network, 96, 2541
read, 97, 119651
network, 97, 2511
read, 98, 118725
network, 98, 2547
read, 99, 119492
network, 99, 2524
cmd-read, 0, 12571689
