1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04191 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.7449 s, 382 MB/s
2015-12-01 03:06:52.252301
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.14482 s, 333 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.74442 s, 382 MB/s
2015-12-01 03:06:59.074670
w, s, s, 1048576, 1, 0, 389.946158
w, s, r, 1048576, 1, 0, 392.562214
r, s, s, 1048576, 1, 0, 339.751423
r, s, r, 1048576, 1, 0, 329.608842
w, s, s, 1048576, 1, 0, 385.967276
w, s, r, 1048576, 1, 0, 392.439646
r, s, s, 1048576, 1, 0, 335.969742
r, s, r, 1048576, 1, 0, 328.665829
w, s, s, 10485760, 1, 0, 381.541082
w, s, r, 10485760, 1, 0, 390.777863
r, s, s, 10485760, 1, 0, 334.040051
r, s, r, 10485760, 1, 0, 329.675882
w, s, s, 10485760, 1, 0, 381.873030
w, s, r, 10485760, 1, 0, 392.315998
r, s, s, 10485760, 1, 0, 323.149508
r, s, r, 10485760, 1, 0, 318.270433
w, s, s, 1048576, 1, 1, 413.813461
w, s, r, 1048576, 1, 1, 427.335714
r, s, s, 1048576, 1, 1, 400.042465
r, s, r, 1048576, 1, 1, 401.298426
w, s, s, 1048576, 1, 1, 424.267645
w, s, r, 1048576, 1, 1, 427.834941
r, s, s, 1048576, 1, 1, 396.766126
r, s, r, 1048576, 1, 1, 394.975147
w, s, s, 10485760, 1, 1, 453.293981
w, s, r, 10485760, 1, 1, 448.513927
r, s, s, 10485760, 1, 1, 464.149893
r, s, r, 10485760, 1, 1, 462.469860
w, s, s, 10485760, 1, 1, 452.109333
w, s, r, 10485760, 1, 1, 450.010216
r, s, s, 10485760, 1, 1, 467.973795
r, s, r, 10485760, 1, 1, 465.325019
r, a, s, 1048576, 1, 0, 338.148146
r, a, r, 1048576, 1, 0, 328.078909
r, a, s, 1048576, 1, 0, 340.238917
r, a, r, 1048576, 1, 0, 327.950489
r, a, s, 1048576, 15, 0, 335.234148
r, a, r, 1048576, 15, 0, 326.376816
r, a, s, 1048576, 15, 0, 332.658295
r, a, r, 1048576, 15, 0, 325.930517
r, a, s, 1048576, 31, 0, 333.361204
r, a, r, 1048576, 31, 0, 324.019439
r, a, s, 1048576, 31, 0, 335.530567
r, a, r, 1048576, 31, 0, 325.178417
r, a, s, 1048576, 62, 0, 343.378811
r, a, r, 1048576, 62, 0, 322.696876
r, a, s, 1048576, 62, 0, 335.757400
r, a, r, 1048576, 62, 0, 321.203680
r, a, s, 10485760, 1, 0, 333.817450
r, a, r, 10485760, 1, 0, 335.553754
r, a, s, 10485760, 1, 0, 332.673137
r, a, r, 10485760, 1, 0, 333.034664
r, a, s, 10485760, 15, 0, 331.998739
r, a, r, 10485760, 15, 0, 331.798729
r, a, s, 10485760, 15, 0, 332.429712
r, a, r, 10485760, 15, 0, 330.599677
r, a, s, 10485760, 31, 0, 329.239135
r, a, r, 10485760, 31, 0, 325.752349
r, a, s, 10485760, 31, 0, 328.341159
r, a, r, 10485760, 31, 0, 326.701040
r, a, s, 10485760, 62, 0, 322.194724
r, a, r, 10485760, 62, 0, 323.198638
r, a, s, 10485760, 62, 0, 321.956056
r, a, r, 10485760, 62, 0, 320.736916
r, a, s, 1048576, 1, 1, 399.160741
r, a, r, 1048576, 1, 1, 326.986570
r, a, s, 1048576, 1, 1, 395.649819
r, a, r, 1048576, 1, 1, 325.877461
r, a, s, 1048576, 15, 1, 483.570895
r, a, r, 1048576, 15, 1, 321.814678
r, a, s, 1048576, 15, 1, 479.837480
r, a, r, 1048576, 15, 1, 324.064030
r, a, s, 1048576, 31, 1, 483.284363
r, a, r, 1048576, 31, 1, 321.132191
r, a, s, 1048576, 31, 1, 480.330414
r, a, r, 1048576, 31, 1, 325.219037
r, a, s, 1048576, 62, 1, 474.920512
r, a, r, 1048576, 62, 1, 322.144613
r, a, s, 1048576, 62, 1, 481.191495
r, a, r, 1048576, 62, 1, 319.348807
r, a, s, 10485760, 1, 1, 465.607960
r, a, r, 10485760, 1, 1, 333.721554
r, a, s, 10485760, 1, 1, 465.242074
r, a, r, 10485760, 1, 1, 331.173840
r, a, s, 10485760, 15, 1, 481.199891
r, a, r, 10485760, 15, 1, 330.156934
r, a, s, 10485760, 15, 1, 476.292616
r, a, r, 10485760, 15, 1, 328.776454
r, a, s, 10485760, 31, 1, 481.225757
r, a, r, 10485760, 31, 1, 325.503445
r, a, s, 10485760, 31, 1, 477.822582
r, a, r, 10485760, 31, 1, 327.741442
r, a, s, 10485760, 62, 1, 473.793518
r, a, r, 10485760, 62, 1, 318.388538
r, a, s, 10485760, 62, 1, 483.366570
r, a, r, 10485760, 62, 1, 322.095856
