1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.09227 s, 501 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.1112 s, 337 MB/s
2015-08-26 16:32:56.030556
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.49384 s, 420 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.22264 s, 325 MB/s
2015-08-26 16:33:03.337684
w, s, s, 1048576, 1, 0, 333.185703
w, s, r, 1048576, 1, 0, 349.680701
r, s, s, 1048576, 1, 0, 265.681077
r, s, r, 1048576, 1, 0, 254.679034
w, s, s, 1048576, 1, 0, 345.114823
w, s, r, 1048576, 1, 0, 360.264033
r, s, s, 1048576, 1, 0, 273.329471
r, s, r, 1048576, 1, 0, 250.561783
w, s, s, 10485760, 1, 0, 335.309478
w, s, r, 10485760, 1, 0, 341.506569
r, s, s, 10485760, 1, 0, 272.280902
r, s, r, 10485760, 1, 0, 261.622981
w, s, s, 10485760, 1, 0, 336.352798
w, s, r, 10485760, 1, 0, 329.665603
r, s, s, 10485760, 1, 0, 272.288161
r, s, r, 10485760, 1, 0, 268.642699
w, s, s, 1048576, 1, 1, 308.647670
w, s, r, 1048576, 1, 1, 318.537372
r, s, s, 1048576, 1, 1, 318.871748
r, s, r, 1048576, 1, 1, 322.487710
w, s, s, 1048576, 1, 1, 326.937300
w, s, r, 1048576, 1, 1, 322.982962
r, s, s, 1048576, 1, 1, 314.391056
r, s, r, 1048576, 1, 1, 321.835708
w, s, s, 10485760, 1, 1, 373.323226
w, s, r, 10485760, 1, 1, 373.201423
r, s, s, 10485760, 1, 1, 400.324392
r, s, r, 10485760, 1, 1, 402.836221
w, s, s, 10485760, 1, 1, 383.563437
w, s, r, 10485760, 1, 1, 374.186187
r, s, s, 10485760, 1, 1, 400.811851
r, s, r, 10485760, 1, 1, 402.056114
r, a, s, 1048576, 1, 0, 302.810374
r, a, r, 1048576, 1, 0, 265.246028
r, a, s, 1048576, 1, 0, 296.458365
r, a, r, 1048576, 1, 0, 263.106525
r, a, s, 1048576, 15, 0, 299.217824
r, a, r, 1048576, 15, 0, 261.269130
r, a, s, 1048576, 15, 0, 319.003216
r, a, r, 1048576, 15, 0, 261.965747
r, a, s, 1048576, 31, 0, 309.176091
r, a, r, 1048576, 31, 0, 261.708022
r, a, s, 1048576, 31, 0, 309.479062
r, a, r, 1048576, 31, 0, 261.348645
r, a, s, 1048576, 62, 0, 322.637105
r, a, r, 1048576, 62, 0, 260.122891
r, a, s, 1048576, 62, 0, 317.593172
r, a, r, 1048576, 62, 0, 260.749727
r, a, s, 10485760, 1, 0, 308.217189
r, a, r, 10485760, 1, 0, 294.956943
r, a, s, 10485760, 1, 0, 312.347765
r, a, r, 10485760, 1, 0, 290.273260
r, a, s, 10485760, 15, 0, 295.310929
r, a, r, 10485760, 15, 0, 286.574708
r, a, s, 10485760, 15, 0, 304.754863
r, a, r, 10485760, 15, 0, 287.913770
r, a, s, 10485760, 31, 0, 295.088066
r, a, r, 10485760, 31, 0, 284.650028
r, a, s, 10485760, 31, 0, 292.837419
r, a, r, 10485760, 31, 0, 276.958665
r, a, s, 10485760, 62, 0, 286.526370
r, a, r, 10485760, 62, 0, 273.066575
r, a, s, 10485760, 62, 0, 284.899741
r, a, r, 10485760, 62, 0, 276.282906
r, a, s, 1048576, 1, 1, 349.990366
r, a, r, 1048576, 1, 1, 267.510435
r, a, s, 1048576, 1, 1, 347.154923
r, a, r, 1048576, 1, 1, 302.534986
r, a, s, 1048576, 15, 1, 467.172195
r, a, r, 1048576, 15, 1, 297.620160
r, a, s, 1048576, 15, 1, 465.689274
r, a, r, 1048576, 15, 1, 297.920176
r, a, s, 1048576, 31, 1, 448.917229
r, a, r, 1048576, 31, 1, 301.246386
r, a, s, 1048576, 31, 1, 432.877481
r, a, r, 1048576, 31, 1, 298.949438
r, a, s, 1048576, 62, 1, 439.175090
r, a, r, 1048576, 62, 1, 296.904038
r, a, s, 1048576, 62, 1, 429.206834
r, a, r, 1048576, 62, 1, 298.402016
r, a, s, 10485760, 1, 1, 454.665629
r, a, r, 10485760, 1, 1, 336.529668
r, a, s, 10485760, 1, 1, 454.448662
r, a, r, 10485760, 1, 1, 339.825231
r, a, s, 10485760, 15, 1, 435.955808
r, a, r, 10485760, 15, 1, 330.740221
r, a, s, 10485760, 15, 1, 437.473029
r, a, r, 10485760, 15, 1, 332.922860
r, a, s, 10485760, 31, 1, 458.455416
r, a, r, 10485760, 31, 1, 327.760149
r, a, s, 10485760, 31, 1, 441.888292
r, a, r, 10485760, 31, 1, 323.270399
r, a, s, 10485760, 62, 1, 444.669568
r, a, r, 10485760, 62, 1, 313.316864
r, a, s, 10485760, 62, 1, 449.821308
r, a, r, 10485760, 62, 1, 312.051010
