1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.03981 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.74462 s, 382 MB/s
2015-10-31 01:19:26.875722
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.70318 s, 388 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.75619 s, 380 MB/s
2015-10-31 01:19:33.699200
w, s, s, 1048576, 1, 0, 398.795422
w, s, r, 1048576, 1, 0, 398.321688
r, s, s, 1048576, 1, 0, 347.434106
r, s, r, 1048576, 1, 0, 338.567722
w, s, s, 1048576, 1, 0, 393.515804
w, s, r, 1048576, 1, 0, 400.832011
r, s, s, 1048576, 1, 0, 336.781327
r, s, r, 1048576, 1, 0, 324.674481
w, s, s, 10485760, 1, 0, 383.196446
w, s, r, 10485760, 1, 0, 396.384247
r, s, s, 10485760, 1, 0, 336.160955
r, s, r, 10485760, 1, 0, 329.922348
w, s, s, 10485760, 1, 0, 385.443369
w, s, r, 10485760, 1, 0, 397.787886
r, s, s, 10485760, 1, 0, 337.087039
r, s, r, 10485760, 1, 0, 333.180342
w, s, s, 1048576, 1, 1, 411.113933
w, s, r, 1048576, 1, 1, 424.996008
r, s, s, 1048576, 1, 1, 387.232605
r, s, r, 1048576, 1, 1, 390.544882
w, s, s, 1048576, 1, 1, 422.360283
w, s, r, 1048576, 1, 1, 421.974849
r, s, s, 1048576, 1, 1, 394.740738
r, s, r, 1048576, 1, 1, 397.507630
w, s, s, 10485760, 1, 1, 450.244234
w, s, r, 10485760, 1, 1, 441.389961
r, s, s, 10485760, 1, 1, 449.974829
r, s, r, 10485760, 1, 1, 457.563739
w, s, s, 10485760, 1, 1, 451.250458
w, s, r, 10485760, 1, 1, 447.205838
r, s, s, 10485760, 1, 1, 457.888854
r, s, r, 10485760, 1, 1, 463.913904
r, a, s, 1048576, 1, 0, 329.113083
r, a, r, 1048576, 1, 0, 320.008459
r, a, s, 1048576, 1, 0, 331.135916
r, a, r, 1048576, 1, 0, 318.592285
r, a, s, 1048576, 15, 0, 343.695791
r, a, r, 1048576, 15, 0, 317.723471
r, a, s, 1048576, 15, 0, 325.149263
r, a, r, 1048576, 15, 0, 315.649425
r, a, s, 1048576, 31, 0, 342.575277
r, a, r, 1048576, 31, 0, 314.658125
r, a, s, 1048576, 31, 0, 344.427937
r, a, r, 1048576, 31, 0, 316.396417
r, a, s, 1048576, 62, 0, 328.898518
r, a, r, 1048576, 62, 0, 316.159012
r, a, s, 1048576, 62, 0, 338.842373
r, a, r, 1048576, 62, 0, 316.786347
r, a, s, 10485760, 1, 0, 329.752819
r, a, r, 10485760, 1, 0, 323.063007
r, a, s, 10485760, 1, 0, 351.131432
r, a, r, 10485760, 1, 0, 326.363137
r, a, s, 10485760, 15, 0, 334.290667
r, a, r, 10485760, 15, 0, 323.482292
r, a, s, 10485760, 15, 0, 343.333132
r, a, r, 10485760, 15, 0, 322.444095
r, a, s, 10485760, 31, 0, 319.678928
r, a, r, 10485760, 31, 0, 318.584125
r, a, s, 10485760, 31, 0, 323.970198
r, a, r, 10485760, 31, 0, 319.381073
r, a, s, 10485760, 62, 0, 316.777636
r, a, r, 10485760, 62, 0, 318.257375
r, a, s, 10485760, 62, 0, 317.575892
r, a, r, 10485760, 62, 0, 315.147769
r, a, s, 1048576, 1, 1, 387.400110
r, a, r, 1048576, 1, 1, 313.894370
r, a, s, 1048576, 1, 1, 387.222238
r, a, r, 1048576, 1, 1, 318.124093
r, a, s, 1048576, 15, 1, 473.427694
r, a, r, 1048576, 15, 1, 314.674706
r, a, s, 1048576, 15, 1, 470.405259
r, a, r, 1048576, 15, 1, 314.445056
r, a, s, 1048576, 31, 1, 476.252472
r, a, r, 1048576, 31, 1, 311.069447
r, a, s, 1048576, 31, 1, 470.641462
r, a, r, 1048576, 31, 1, 315.285132
r, a, s, 1048576, 62, 1, 471.519858
r, a, r, 1048576, 62, 1, 310.723967
r, a, s, 1048576, 62, 1, 475.432628
r, a, r, 1048576, 62, 1, 315.478728
r, a, s, 10485760, 1, 1, 461.739447
r, a, r, 10485760, 1, 1, 322.696456
r, a, s, 10485760, 1, 1, 466.850761
r, a, r, 10485760, 1, 1, 321.975196
r, a, s, 10485760, 15, 1, 468.126253
r, a, r, 10485760, 15, 1, 320.367316
r, a, s, 10485760, 15, 1, 475.622747
r, a, r, 10485760, 15, 1, 320.167448
r, a, s, 10485760, 31, 1, 466.282666
r, a, r, 10485760, 31, 1, 319.855895
r, a, s, 10485760, 31, 1, 473.362413
r, a, r, 10485760, 31, 1, 317.376567
r, a, s, 10485760, 62, 1, 470.418205
r, a, r, 10485760, 62, 1, 317.008851
r, a, s, 10485760, 62, 1, 464.431667
r, a, r, 10485760, 62, 1, 313.453893
