1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.04826 s, 512 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.76604 s, 379 MB/s
2015-11-20 01:16:50.321793
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.85255 s, 368 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.80485 s, 374 MB/s
2015-11-20 01:16:57.172297
w, s, s, 1048576, 1, 0, 386.652316
w, s, r, 1048576, 1, 0, 392.846038
r, s, s, 1048576, 1, 0, 340.663370
r, s, r, 1048576, 1, 0, 333.844472
w, s, s, 1048576, 1, 0, 375.735117
w, s, r, 1048576, 1, 0, 385.453114
r, s, s, 1048576, 1, 0, 335.171071
r, s, r, 1048576, 1, 0, 331.555757
w, s, s, 10485760, 1, 0, 379.915745
w, s, r, 10485760, 1, 0, 392.038464
r, s, s, 10485760, 1, 0, 386.545676
r, s, r, 10485760, 1, 0, 342.053934
w, s, s, 10485760, 1, 0, 371.241746
w, s, r, 10485760, 1, 0, 385.265881
r, s, s, 10485760, 1, 0, 375.462699
r, s, r, 10485760, 1, 0, 343.632554
w, s, s, 1048576, 1, 1, 383.378227
w, s, r, 1048576, 1, 1, 392.402055
r, s, s, 1048576, 1, 1, 368.811267
r, s, r, 1048576, 1, 1, 371.037856
w, s, s, 1048576, 1, 1, 396.548160
w, s, r, 1048576, 1, 1, 393.130829
r, s, s, 1048576, 1, 1, 383.844531
r, s, r, 1048576, 1, 1, 385.507629
w, s, s, 10485760, 1, 1, 432.141561
w, s, r, 10485760, 1, 1, 437.147577
r, s, s, 10485760, 1, 1, 453.530697
r, s, r, 10485760, 1, 1, 458.140371
w, s, s, 10485760, 1, 1, 430.509155
w, s, r, 10485760, 1, 1, 436.208479
r, s, s, 10485760, 1, 1, 460.188387
r, s, r, 10485760, 1, 1, 448.428805
r, a, s, 1048576, 1, 0, 336.208074
r, a, r, 1048576, 1, 0, 324.773763
r, a, s, 1048576, 1, 0, 336.413834
r, a, r, 1048576, 1, 0, 324.935792
r, a, s, 1048576, 15, 0, 365.395321
r, a, r, 1048576, 15, 0, 316.730276
r, a, s, 1048576, 15, 0, 377.582205
r, a, r, 1048576, 15, 0, 315.269636
r, a, s, 1048576, 31, 0, 407.867205
r, a, r, 1048576, 31, 0, 318.137764
r, a, s, 1048576, 31, 0, 406.239511
r, a, r, 1048576, 31, 0, 318.823401
r, a, s, 1048576, 62, 0, 420.281674
r, a, r, 1048576, 62, 0, 315.704017
r, a, s, 1048576, 62, 0, 394.356655
r, a, r, 1048576, 62, 0, 318.675544
r, a, s, 10485760, 1, 0, 353.745606
r, a, r, 10485760, 1, 0, 334.172301
r, a, s, 10485760, 1, 0, 350.749032
r, a, r, 10485760, 1, 0, 333.738105
r, a, s, 10485760, 15, 0, 350.731989
r, a, r, 10485760, 15, 0, 330.042411
r, a, s, 10485760, 15, 0, 331.918155
r, a, r, 10485760, 15, 0, 331.058158
r, a, s, 10485760, 31, 0, 336.406580
r, a, r, 10485760, 31, 0, 328.160915
r, a, s, 10485760, 31, 0, 334.583838
r, a, r, 10485760, 31, 0, 327.721439
r, a, s, 10485760, 62, 0, 328.442443
r, a, r, 10485760, 62, 0, 321.626103
r, a, s, 10485760, 62, 0, 340.980687
r, a, r, 10485760, 62, 0, 321.861850
r, a, s, 1048576, 1, 1, 395.610615
r, a, r, 1048576, 1, 1, 324.267456
r, a, s, 1048576, 1, 1, 392.794050
r, a, r, 1048576, 1, 1, 322.874357
r, a, s, 1048576, 15, 1, 474.514054
r, a, r, 1048576, 15, 1, 314.397304
r, a, s, 1048576, 15, 1, 480.281115
r, a, r, 1048576, 15, 1, 315.146175
r, a, s, 1048576, 31, 1, 480.519850
r, a, r, 1048576, 31, 1, 315.202605
r, a, s, 1048576, 31, 1, 476.227872
r, a, r, 1048576, 31, 1, 316.327462
r, a, s, 1048576, 62, 1, 471.518462
r, a, r, 1048576, 62, 1, 314.960052
r, a, s, 1048576, 62, 1, 477.873758
r, a, r, 1048576, 62, 1, 314.872341
r, a, s, 10485760, 1, 1, 468.044575
r, a, r, 10485760, 1, 1, 339.968381
r, a, s, 10485760, 1, 1, 466.656783
r, a, r, 10485760, 1, 1, 343.449462
r, a, s, 10485760, 15, 1, 470.626055
r, a, r, 10485760, 15, 1, 338.916644
r, a, s, 10485760, 15, 1, 477.768853
r, a, r, 10485760, 15, 1, 337.961901
r, a, s, 10485760, 31, 1, 479.947592
r, a, r, 10485760, 31, 1, 336.993317
r, a, s, 10485760, 31, 1, 476.859731
r, a, r, 10485760, 31, 1, 336.490525
r, a, s, 10485760, 62, 1, 473.116824
r, a, r, 10485760, 62, 1, 331.218245
r, a, s, 10485760, 62, 1, 475.307884
r, a, r, 10485760, 62, 1, 323.555728
