1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.06754 s, 507 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.87846 s, 364 MB/s
2015-10-09 17:24:56.474098
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.4573 s, 427 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.92934 s, 358 MB/s
2015-10-09 17:25:03.497100
w, s, s, 1048576, 1, 0, 385.469066
w, s, r, 1048576, 1, 0, 391.477665
r, s, s, 1048576, 1, 0, 293.992098
r, s, r, 1048576, 1, 0, 288.738712
w, s, s, 1048576, 1, 0, 383.935114
w, s, r, 1048576, 1, 0, 388.980331
r, s, s, 1048576, 1, 0, 294.050879
r, s, r, 1048576, 1, 0, 280.272381
w, s, s, 10485760, 1, 0, 369.800652
w, s, r, 10485760, 1, 0, 382.788806
r, s, s, 10485760, 1, 0, 299.312163
r, s, r, 10485760, 1, 0, 292.592986
w, s, s, 10485760, 1, 0, 379.257156
w, s, r, 10485760, 1, 0, 384.097203
r, s, s, 10485760, 1, 0, 305.077454
r, s, r, 10485760, 1, 0, 292.555380
w, s, s, 1048576, 1, 1, 367.920601
w, s, r, 1048576, 1, 1, 377.846178
r, s, s, 1048576, 1, 1, 347.113843
r, s, r, 1048576, 1, 1, 340.549365
w, s, s, 1048576, 1, 1, 380.406401
w, s, r, 1048576, 1, 1, 377.574079
r, s, s, 1048576, 1, 1, 344.078965
r, s, r, 1048576, 1, 1, 342.289956
w, s, s, 10485760, 1, 1, 412.047576
w, s, r, 10485760, 1, 1, 417.575855
r, s, s, 10485760, 1, 1, 432.452099
r, s, r, 10485760, 1, 1, 422.910983
w, s, s, 10485760, 1, 1, 413.177716
w, s, r, 10485760, 1, 1, 413.044284
r, s, s, 10485760, 1, 1, 425.490962
r, s, r, 10485760, 1, 1, 426.792149
r, a, s, 1048576, 1, 0, 299.987310
r, a, r, 1048576, 1, 0, 287.437781
r, a, s, 1048576, 1, 0, 298.772624
r, a, r, 1048576, 1, 0, 288.385235
r, a, s, 1048576, 15, 0, 313.353765
r, a, r, 1048576, 15, 0, 279.215181
r, a, s, 1048576, 15, 0, 306.772414
r, a, r, 1048576, 15, 0, 279.107274
r, a, s, 1048576, 31, 0, 301.140195
r, a, r, 1048576, 31, 0, 275.576112
r, a, s, 1048576, 31, 0, 305.937177
r, a, r, 1048576, 31, 0, 280.597314
r, a, s, 1048576, 62, 0, 298.212340
r, a, r, 1048576, 62, 0, 279.244835
r, a, s, 1048576, 62, 0, 301.193186
r, a, r, 1048576, 62, 0, 277.518504
r, a, s, 10485760, 1, 0, 302.045921
r, a, r, 10485760, 1, 0, 293.526278
r, a, s, 10485760, 1, 0, 305.686213
r, a, r, 10485760, 1, 0, 291.768904
r, a, s, 10485760, 15, 0, 299.162361
r, a, r, 10485760, 15, 0, 291.010543
r, a, s, 10485760, 15, 0, 296.048234
r, a, r, 10485760, 15, 0, 292.201406
r, a, s, 10485760, 31, 0, 294.766247
r, a, r, 10485760, 31, 0, 287.137391
r, a, s, 10485760, 31, 0, 295.483365
r, a, r, 10485760, 31, 0, 290.142057
r, a, s, 10485760, 62, 0, 290.082601
r, a, r, 10485760, 62, 0, 284.254557
r, a, s, 10485760, 62, 0, 291.882879
r, a, r, 10485760, 62, 0, 284.457725
r, a, s, 1048576, 1, 1, 348.251397
r, a, r, 1048576, 1, 1, 285.776147
r, a, s, 1048576, 1, 1, 345.856394
r, a, r, 1048576, 1, 1, 286.588659
r, a, s, 1048576, 15, 1, 447.944830
r, a, r, 1048576, 15, 1, 263.794239
r, a, s, 1048576, 15, 1, 465.369342
r, a, r, 1048576, 15, 1, 292.955596
r, a, s, 1048576, 31, 1, 478.283535
r, a, r, 1048576, 31, 1, 312.831851
r, a, s, 1048576, 31, 1, 478.921933
r, a, r, 1048576, 31, 1, 315.881441
r, a, s, 1048576, 62, 1, 479.096738
r, a, r, 1048576, 62, 1, 310.074392
r, a, s, 1048576, 62, 1, 479.626699
r, a, r, 1048576, 62, 1, 312.653130
r, a, s, 10485760, 1, 1, 467.857281
r, a, r, 10485760, 1, 1, 335.168262
r, a, s, 10485760, 1, 1, 468.014544
r, a, r, 10485760, 1, 1, 335.098954
r, a, s, 10485760, 15, 1, 479.260294
r, a, r, 10485760, 15, 1, 334.873051
r, a, s, 10485760, 15, 1, 480.615529
r, a, r, 10485760, 15, 1, 333.676117
r, a, s, 10485760, 31, 1, 480.618330
r, a, r, 10485760, 31, 1, 331.867284
r, a, s, 10485760, 31, 1, 479.803396
r, a, r, 10485760, 31, 1, 329.781486
r, a, s, 10485760, 62, 1, 480.002106
r, a, r, 10485760, 62, 1, 323.208143
r, a, s, 10485760, 62, 1, 480.011809
r, a, r, 10485760, 62, 1, 321.524838
